Player,Salary,Adjusted
Kobe Bryant,"$27,849,000","$31,285,738"
Brandon Roy,"$21,459,805","$24,108,076"
Dirk Nowitzki,"$20,907,128","$23,487,196"
Gilbert Arenas,"$20,807,922","$23,375,747"
Amare Stoudemire,"$19,948,799","$22,410,603"
Joe Johnson,"$19,752,645","$22,190,243"
Carmelo Anthony,"$19,450,000","$21,850,249"
Dwight Howard,"$19,261,200","$21,638,150"
Pau Gasol,"$19,000,000","$21,344,717"
Elton Brand,"$18,160,354","$20,401,452"
Chris Paul,"$17,779,457","$19,973,551"
Kevin Durant,"$17,548,838","$19,714,472"
LeBron James,"$17,545,000","$19,710,161"
Chris Bosh,"$17,545,000","$19,710,161"
Deron Williams,"$17,177,795","$19,297,640"
Dwyane Wade,"$17,024,000","$19,124,866"
Paul Pierce,"$16,790,345","$18,862,377"
Zach Randolph,"$16,500,000","$18,536,201"
Andrew Bynum,"$16,473,002","$18,505,872"
Rudy Gay,"$16,460,532","$18,491,863"
Derrick Rose,"$16,402,500","$18,426,669"
Rashard Lewis,"$15,052,181","$16,909,712"
Carlos Boozer,"$15,000,000","$16,851,092"
Al Jefferson,"$15,000,000","$16,851,092"
Baron Davis,"$14,850,000","$16,682,581"
Andre Iguodala,"$14,718,250","$16,534,572"
Manu Ginobili,"$14,107,492","$15,848,443"
Marc Gasol,"$13,891,359","$15,605,638"
Roy Hibbert,"$13,668,750","$15,355,558"
Kevin Love,"$13,668,750","$15,355,558"
Eric Gordon,"$13,668,750","$15,355,558"
Russell Westbrook,"$13,668,750","$15,355,558"
Brook Lopez,"$13,668,000","$15,354,715"
Tyson Chandler,"$13,604,188","$15,283,028"
Emeka Okafor,"$13,543,250","$15,214,570"
Luol Deng,"$13,326,700","$14,971,296"
Josh Smith,"$13,200,000","$14,828,961"
Andrew Bogut,"$13,150,000","$14,772,791"
Danny Granger,"$13,058,606","$14,670,118"
LaMarcus Aldridge,"$13,000,000","$14,604,280"
Nenê,"$13,000,000","$14,604,280"
Kevin Martin,"$12,939,675","$14,536,510"
David Lee,"$12,744,000","$14,316,688"
Tony Parker,"$12,500,000","$14,042,577"
Kevin Garnett,"$12,467,532","$14,006,102"
Ben Gordon,"$12,400,000","$13,930,236"
Al Horford,"$12,000,000","$13,480,873"
Kris Humphries,"$12,000,000","$13,480,873"
Nicolas Batum,"$11,950,000","$13,424,703"
Hidayet Turkoglu,"$11,815,850","$13,273,998"
Joakim Noah,"$11,050,000","$12,413,638"
Jose Calderon,"$11,046,591","$12,409,808"
Rajon Rondo,"$11,000,000","$12,357,467"
Monta Ellis,"$11,000,000","$12,357,467"
Corey Maggette,"$10,924,138","$12,272,243"
DeAndre Jordan,"$10,532,977","$11,832,811"
Richard Hamilton,"$10,500,000","$11,795,763"
Richard Jefferson,"$10,164,000","$11,418,300"
Stephen Jackson,"$10,060,000","$11,301,466"
JaVale McGee,"$10,000,000","$11,234,061"
David West,"$10,000,000","$11,234,061"
Andrea Bargnani,"$10,000,000","$11,234,061"
Andrei Kirilenko,"$9,779,349","$10,986,180"
Gerald Wallace,"$9,682,435","$10,877,307"
Tim Duncan,"$9,638,554","$10,828,010"
Danilo Gallinari,"$9,439,000","$10,603,830"
Andris Biedrins,"$9,000,000","$10,110,655"
Steve Nash,"$8,900,000","$9,998,314"
Ryan Anderson,"$8,700,000","$9,773,633"
Shawn Marion,"$8,646,364","$9,713,378"
Jameer Nelson,"$8,600,000","$9,661,293"
Devin Harris,"$8,500,000","$9,548,952"
Rodney Stuckey,"$8,500,000","$9,548,952"
Maurice Williams,"$8,500,000","$9,548,952"
Anderson Varejao,"$8,400,000","$9,436,611"
Brendan Haywood,"$8,349,000","$9,379,317"
Marvin Williams,"$8,287,500","$9,310,228"
Lamar Odom,"$8,200,000","$9,211,930"
Jeff Green,"$8,100,000","$9,099,589"
John Salmons,"$8,080,000","$9,077,121"
Charlie Villanueva,"$8,060,000","$9,054,653"
Thaddeus Young,"$8,039,130","$9,031,208"
Tyrus Thomas,"$8,000,000","$8,987,249"
Chris Kaman,"$8,000,000","$8,987,249"
George Hill,"$8,000,000","$8,987,249"
Caron Butler,"$8,000,000","$8,987,249"
Andray Blatche,"$7,972,891","$8,956,794"
Ersan Ilyasova,"$7,900,000","$8,874,908"
Beno Udrih,"$7,810,000","$8,773,802"
Kendrick Perkins,"$7,800,531","$8,763,164"
Marcus Thornton,"$7,632,500","$8,574,397"
Arron Afflalo,"$7,562,500","$8,495,759"
Goran Dragic,"$7,500,000","$8,425,546"
DeSagana Diop,"$7,372,200","$8,281,974"
Metta World Peace,"$7,258,960","$8,154,760"
Marcin Gortat,"$7,258,960","$8,154,760"
Trevor Ariza,"$7,258,960","$8,154,760"
Blake Griffin,"$7,226,891","$8,118,733"
Paul Millsap,"$7,200,000","$8,088,524"
Mike Conley,"$7,180,000","$8,066,056"
Travis Outlaw,"$7,000,000","$7,863,842"
Josh Childress,"$6,890,056","$7,740,331"
Tayshaun Prince,"$6,764,045","$7,598,769"
Samuel Dalembert,"$6,700,000","$7,526,821"
