Player,Salary,Adjusted
Stephen Curry,"$37,457,154","$38,320,489"
Russell Westbrook,"$35,665,000","$36,487,029"
Chris Paul,"$35,654,150","$36,475,929"
LeBron James,"$35,654,150","$36,475,929"
Kyle Lowry,"$32,700,000","$33,453,690"
Blake Griffin,"$31,873,932","$32,608,582"
Gordon Hayward,"$31,214,295","$31,933,741"
James Harden,"$30,570,000","$31,274,596"
Paul George,"$30,560,700","$31,265,082"
Mike Conley,"$30,521,115","$31,224,584"
Kevin Durant,"$30,000,000","$30,691,458"
Paul Millsap,"$29,230,769","$29,904,498"
Al Horford,"$28,928,710","$29,595,476"
Damian Lillard,"$27,977,689","$28,622,536"
DeMar DeRozan,"$27,739,975","$28,379,343"
Chris Bosh,"$26,837,720","$27,456,292"
Jrue Holiday,"$26,641,111","$27,255,151"
Otto Porter,"$26,011,913","$26,611,451"
CJ McCollum,"$25,759,766","$26,353,493"
Nikola Jokic,"$25,467,250","$26,054,235"
Andrew Wiggins,"$25,467,250","$26,054,235"
Joel Embiid,"$25,467,250","$26,054,235"
Anthony Davis,"$25,434,263","$26,020,487"
Andre Drummond,"$25,434,262","$26,020,486"
Bradley Beal,"$25,434,262","$26,020,486"
Hassan Whiteside,"$24,434,262","$24,997,438"
Dwight Howard,"$24,256,725","$24,815,808"
Giannis Antetokounmpo,"$24,157,304","$24,714,096"
Steven Adams,"$24,157,304","$24,714,096"
Kevin Love,"$24,119,025","$24,674,935"
Marc Gasol,"$24,119,025","$24,674,935"
Chandler Parsons,"$24,107,258","$24,662,897"
Harrison Barnes,"$24,107,258","$24,662,897"
Nicolas Batum,"$24,000,000","$24,553,167"
Rudy Gobert,"$23,491,573","$24,033,021"
Kawhi Leonard,"$23,114,066","$23,646,813"
DeAndre Jordan,"$22,897,200","$23,424,948"
LaMarcus Aldridge,"$22,347,015","$22,862,082"
Serge Ibaka,"$21,666,667","$22,166,053"
Aaron Gordon,"$21,590,909","$22,088,549"
Danilo Gallinari,"$21,587,579","$22,085,143"
Victor Oladipo,"$21,000,000","$21,484,021"
Ryan Anderson,"$20,421,546","$20,892,234"
Joakim Noah,"$20,261,172","$20,728,164"
Kyrie Irving,"$20,099,189","$20,562,447"
Jabari Parker,"$20,000,000","$20,460,972"
Jimmy Butler,"$19,841,627","$20,298,949"
Zach LaVine,"$19,500,000","$19,949,448"
Wesley Matthews,"$19,360,228","$19,806,454"
Allen Crabbe,"$19,332,500","$19,778,087"
Enes Kanter,"$19,264,603","$19,708,625"
Tyler Johnson,"$19,245,370","$19,688,949"
John Wall,"$19,169,800","$19,611,637"
George Hill,"$19,000,000","$19,437,923"
Jeff Teague,"$19,000,000","$19,437,923"
Klay Thompson,"$18,988,725","$19,426,389"
Goran Dragic,"$18,109,175","$18,526,566"
Kent Bazemore,"$18,089,888","$18,506,835"
Evan Turner,"$17,868,853","$18,280,705"
Tristan Thompson,"$17,469,565","$17,872,214"
Draymond Green,"$17,469,565","$17,872,214"
Tim Hardaway Jr,"$17,325,000","$17,724,317"
Pau Gasol,"$17,133,285","$17,528,182"
Reggie Jackson,"$17,043,478","$17,436,306"
Bismack Biyombo,"$17,000,000","$17,391,826"
Evan Fournier,"$17,000,000","$17,391,826"
Derrick Favors,"$16,900,000","$17,289,521"
Luol Deng,"$16,747,954","$17,133,970"
Jonas Valanciunas,"$16,539,326","$16,920,534"
Gary Harris,"$16,517,857","$16,898,570"
Andre Iguodala,"$16,000,000","$16,368,778"
Timofey Mozgov,"$16,000,000","$16,368,778"
