Player,Salary,Adjusted
Shaquille O'Neal,"$27,696,430","$37,638,674"
Dikembe Mutombo,"$19,485,719","$26,480,547"
Allan Houston,"$17,531,250","$23,824,478"
Chris Webber,"$17,531,250","$23,824,478"
Kevin Garnett,"$16,000,000","$21,743,552"
Jason Kidd,"$14,796,000","$20,107,350"
Jermaine O'Neal,"$14,796,000","$20,107,350"
Antoine Walker,"$14,625,000","$19,874,966"
Zydrunas Ilgauskas,"$14,625,000","$19,874,966"
Latrell Sprewell,"$14,625,000","$19,874,966"
Anfernee Hardaway,"$14,625,000","$19,874,966"
Stephon Marbury,"$14,625,000","$19,874,966"
Ray Allen,"$14,625,000","$19,874,966"
Allen Iverson,"$14,625,000","$19,874,966"
Shareef Abdur-Rahim,"$14,625,000","$19,874,966"
Michael Finley,"$14,609,375","$19,853,732"
Tracy McGrady,"$14,487,000","$19,687,428"
Keith Van Horn,"$14,487,000","$19,687,428"
Grant Hill,"$14,487,000","$19,687,428"
Jalen Rose,"$14,487,000","$19,687,428"
Tim Duncan,"$14,260,641","$19,379,812"
Kobe Bryant,"$14,175,000","$19,263,428"
Eddie Jones,"$13,455,000","$18,284,969"
Brian Grant,"$13,233,434","$17,983,867"
Antonio Davis,"$12,925,000","$17,564,713"
Tim Thomas,"$12,900,000","$17,530,739"
Paul Pierce,"$12,584,688","$17,102,239"
Vince Carter,"$12,584,688","$17,102,239"
Dirk Nowitzki,"$12,584,688","$17,102,239"
Antawn Jamison,"$12,584,688","$17,102,239"
Damon Stoudamire,"$12,500,000","$16,987,150"
Baron Davis,"$12,330,000","$16,756,125"
Steve Francis,"$12,330,000","$16,756,125"
Shawn Marion,"$12,330,000","$16,756,125"
Glenn Robinson,"$12,071,250","$16,404,491"
Elton Brand,"$12,056,000","$16,383,767"
Nick Van Exel,"$11,933,252","$16,216,956"
Carlos Boozer,"$10,967,500","$14,904,526"
Theo Ratliff,"$10,937,500","$14,863,756"
Lamar Odom,"$10,548,596","$14,335,247"
