Player,Salary,Adjusted
Hasheem Thabeet,"$5,127,720","$5,856,366"
Russell Westbrook,"$5,082,416","$5,804,625"
Kyle Korver,"$5,000,000","$5,710,497"
Jason Maxiell,"$5,000,000","$5,710,497"
Luc Mbah a Moute,"$5,000,000","$5,710,497"
Jarrett Jack,"$5,000,000","$5,710,497"
Jamal Crawford,"$5,000,000","$5,710,497"
Evan Turner,"$4,947,840","$5,650,925"
Darko Milicic,"$4,776,500","$5,455,238"
Brad Miller,"$4,752,000","$5,427,257"
Zaza Pachulia,"$4,750,000","$5,424,972"
Ronnie Brewer,"$4,710,000","$5,379,288"
Kevin Love,"$4,609,701","$5,264,737"
Linas Kleiza,"$4,605,000","$5,259,368"
James Harden,"$4,604,760","$5,259,094"
Derrick Williams,"$4,602,720","$5,256,764"
Nikola Pekovic,"$4,503,600","$5,143,559"
Jonas Jerebko,"$4,500,000","$5,139,448"
Derrick Favors,"$4,443,360","$5,074,759"
Daniel Gibson,"$4,403,834","$5,029,616"
Ronny Turiaf,"$4,360,000","$4,979,554"
Jose Juan Barea,"$4,300,000","$4,911,028"
Ramon Sessions,"$4,257,973","$4,863,029"
Brandon Bass,"$4,250,000","$4,853,923"
Randy Foye,"$4,250,000","$4,853,923"
Jared Dudley,"$4,250,000","$4,853,923"
Chris Andersen,"$4,234,000","$4,835,649"
Danilo Gallinari,"$4,190,182","$4,785,605"
Tyreke Evans,"$4,151,640","$4,741,586"
Enes Kanter,"$4,133,280","$4,720,617"
Charlie Bell,"$4,099,920","$4,682,516"
Spencer Hawes,"$4,051,024","$4,626,672"
Wesley Johnson,"$4,006,080","$4,575,342"
Jordan Farmar,"$4,000,000","$4,568,398"
Anthony Morrow,"$4,000,000","$4,568,398"
Ryan Gomes,"$4,000,000","$4,568,398"
Steve Blake,"$4,000,000","$4,568,398"
Mario Chalmers,"$4,000,000","$4,568,398"
Hakim Warrick,"$4,000,000","$4,568,398"
Matt Carroll,"$3,900,000","$4,454,188"
Eric Gordon,"$3,831,184","$4,375,593"
Dorell Wright,"$3,823,000","$4,366,246"
Udonis Haslem,"$3,780,000","$4,317,136"
Mike Dunleavy,"$3,750,000","$4,282,873"
Nazr Mohammed,"$3,750,000","$4,282,873"
Tristan Thompson,"$3,726,600","$4,256,148"
CJ Miles,"$3,700,000","$4,225,768"
Nick Young,"$3,695,857","$4,221,036"
Luke Ridnour,"$3,680,000","$4,202,926"
Tiago Splitter,"$3,672,000","$4,193,789"
DeMarcus Cousins,"$3,627,720","$4,143,217"
Joel Anthony,"$3,600,000","$4,111,558"
Shaun Livingston,"$3,500,000","$3,997,348"
Carlos Delfino,"$3,500,000","$3,997,348"
Chris Duhon,"$3,500,000","$3,997,348"
Shannon Brown,"$3,500,000","$3,997,348"
Ricky Rubio,"$3,480,120","$3,974,643"
Jonny Flynn,"$3,414,720","$3,899,950"
CJ Watson,"$3,400,000","$3,883,138"
Derek Fisher,"$3,400,000","$3,883,138"
Marco Belinelli,"$3,377,604","$3,857,560"
Timofey Mozgov,"$3,343,896","$3,819,062"
Daequan Cook,"$3,341,558","$3,816,391"
Matt Bonner,"$3,315,000","$3,786,060"
Thabo Sefolosha,"$3,300,000","$3,768,928"
Ekpe Udoh,"$3,294,960","$3,763,172"
Nick Collison,"$3,272,997","$3,738,088"
Johan Petro,"$3,250,000","$3,711,823"
Will Bynum,"$3,250,000","$3,711,823"
Raja Bell,"$3,240,000","$3,700,402"
DJ Augustin,"$3,236,470","$3,696,371"
Tony Allen,"$3,150,000","$3,597,613"
Stephen Curry,"$3,117,120","$3,560,061"
Brook Lopez,"$3,076,983","$3,514,220"
Jan Vesely,"$3,065,040","$3,500,580"
Corey Brewer,"$3,059,000","$3,493,682"
Jerryd Bayless,"$3,042,280","$3,474,586"
Greg Monroe,"$3,007,920","$3,435,344"
Jason Thompson,"$3,001,284","$3,427,765"
Chris Wilcox,"$3,000,000","$3,426,298"
Shawne Williams,"$3,000,000","$3,426,298"
Jeff Foster,"$3,000,000","$3,426,298"
Josh McRoberts,"$3,000,000","$3,426,298"
Shane Battier,"$3,000,000","$3,426,298"
Brandon Rush,"$2,956,658","$3,376,797"
Anthony Randolph,"$2,911,231","$3,324,915"
Robin Lopez,"$2,862,602","$3,269,376"
Jordan Hill,"$2,855,760","$3,261,562"
Bismack Biyombo,"$2,798,040","$3,195,640"
Al-Farouq Aminu,"$2,755,560","$3,147,123"
Eduardo Najera,"$2,750,000","$3,140,773"
Marreese Speights,"$2,721,255","$3,107,944"
Dahntay Jones,"$2,700,000","$3,083,668"
Antonio McDyess,"$2,640,000","$3,015,142"
DeMar DeRozan,"$2,625,000","$2,998,011"
Roy Hibbert,"$2,588,590","$2,956,427"
Brandon Knight,"$2,563,320","$2,927,566"
Ersan Ilyasova,"$2,541,000","$2,902,075"
Gordon Hayward,"$2,532,960","$2,892,892"
DeShawn Stevenson,"$2,500,000","$2,855,248"
Reggie Williams,"$2,500,000","$2,855,248"
Kenyon Martin,"$2,500,000","$2,855,248"
Jason Smith,"$2,500,000","$2,855,248"
Aaron Gray,"$2,500,000","$2,855,248"
Brandon Jennings,"$2,493,720","$2,848,076"
Ryan Hollins,"$2,483,333","$2,836,213"
JaVale McGee,"$2,462,400","$2,812,305"
Quentin Richardson,"$2,446,600","$2,794,260"
Paul George,"$2,406,240","$2,748,165"
Louis Amundson,"$2,403,000","$2,744,465"
JR Smith,"$2,382,353","$2,720,884"
Terrence Williams,"$2,369,040","$2,705,679"
Kemba Walker,"$2,356,320","$2,691,152"
JJ Hickson,"$2,354,537","$2,689,115"
Cole Aldrich,"$2,286,000","$2,610,839"
Gerald Henderson,"$2,250,600","$2,570,409"
Anthony Parker,"$2,250,000","$2,569,724"
Keyon Dooling,"$2,246,400","$2,565,612"
Ben Wallace,"$2,246,400","$2,565,612"
Ryan Anderson,"$2,244,601","$2,563,557"
Jimmer Fredette,"$2,238,360","$2,556,430"
Courtney Lee,"$2,225,093","$2,541,277"
Kosta Koufos,"$2,203,792","$2,516,949"
Rudy Fernandez,"$2,180,443","$2,490,283"
Xavier Henry,"$2,171,640","$2,480,229"
Nicolas Batum,"$2,155,365","$2,461,641"
Josh Howard,"$2,150,000","$2,455,514"
Tyler Hansbrough,"$2,138,040","$2,441,854"
Klay Thompson,"$2,126,520","$2,428,697"
Goran Dragic,"$2,108,000","$2,407,545"
George Hill,"$2,086,360","$2,382,830"
Ed Davis,"$2,063,040","$2,356,197"
Anthony Tolliver,"$2,050,000","$2,341,304"
Darrell Arthur,"$2,027,119","$2,315,171"
Alec Burks,"$2,020,200","$2,307,269"
Donte Greene,"$2,015,896","$2,302,353"
DJ White,"$2,001,167","$2,285,531"
Dante Cunningham,"$2,000,000","$2,284,199"
Earl Watson,"$2,000,000","$2,284,199"
Patrick Patterson,"$1,959,960","$2,238,469"
Austin Daye,"$1,929,600","$2,203,795"
Markieff Morris,"$1,919,160","$2,191,871"
Matt Barnes,"$1,906,200","$2,177,070"
Larry Sanders,"$1,861,920","$2,126,498"
Omer Asik,"$1,857,500","$2,121,449"
James Johnson,"$1,833,120","$2,093,605"
Marcus Morris,"$1,823,280","$2,082,367"
Luke Babbitt,"$1,768,800","$2,020,145"
Jrue Holiday,"$1,741,440","$1,988,897"
