Player,Salary,Adjusted
Kevin Garnett,"$19,610,000","$29,323,661"
Shaquille O'Neal,"$19,285,715","$28,838,744"
Alonzo Mourning,"$16,880,000","$25,241,376"
Juwan Howard,"$16,875,000","$25,233,900"
Hakeem Olajuwon,"$16,700,000","$24,972,215"
Karl Malone,"$15,750,000","$23,551,640"
David Robinson,"$14,700,000","$21,981,530"
Dikembe Mutombo,"$14,400,000","$21,532,928"
Patrick Ewing,"$14,000,000","$20,934,791"
Jayson Williams,"$13,800,000","$20,635,722"
Scottie Pippen,"$13,750,000","$20,560,955"
Rasheed Wallace,"$12,600,000","$18,841,312"
Gary Payton,"$12,200,000","$18,243,175"
Tim Hardaway,"$12,000,000","$17,944,106"
Chris Webber,"$12,000,000","$17,944,106"
Shawn Kemp,"$11,720,000","$17,525,410"
Damon Stoudamire,"$11,250,000","$16,822,600"
Arvydas Sabonis,"$11,250,000","$16,822,600"
Larry Johnson,"$11,000,000","$16,448,764"
John Stockton,"$11,000,000","$16,448,764"
Antonio McDyess,"$10,800,000","$16,149,696"
Reggie Miller,"$10,670,000","$15,955,301"
Antoine Walker,"$10,130,000","$15,147,816"
Stephon Marbury,"$10,130,000","$15,147,816"
Zydrunas Ilgauskas,"$10,130,000","$15,147,816"
Kobe Bryant,"$10,130,000","$15,147,816"
Shareef Abdur-Rahim,"$10,130,000","$15,147,816"
Ray Allen,"$10,130,000","$15,147,816"
Vin Baker,"$10,130,000","$15,147,816"
Allen Iverson,"$10,130,000","$15,147,816"
Anfernee Hardaway,"$10,130,000","$15,147,816"
Latrell Sprewell,"$10,125,000","$15,140,340"
Bryant Reeves,"$10,110,000","$15,117,909"
Mitch Richmond,"$10,000,000","$14,953,422"
Rod Strickland,"$10,000,000","$14,953,422"
Jalen Rose,"$9,660,000","$14,445,005"
Grant Hill,"$9,660,000","$14,445,005"
Tracy McGrady,"$9,660,000","$14,445,005"
Tim Duncan,"$9,660,000","$14,445,005"
Vlade Divac,"$9,640,000","$14,415,099"
Tom Gugliotta,"$9,360,000","$13,996,403"
Nick Van Exel,"$9,200,000","$13,757,148"
Keith Van Horn,"$9,000,000","$13,458,080"
Allan Houston,"$9,000,000","$13,458,080"
Eddie Jones,"$8,960,000","$13,398,266"
Brian Grant,"$8,900,000","$13,308,545"
Tim Thomas,"$8,510,000","$12,725,362"
Michael Finley,"$8,400,000","$12,560,874"
Shawn Bradley,"$8,370,000","$12,516,014"
Terrell Brandon,"$8,330,000","$12,456,200"
Glenn Robinson,"$8,120,000","$12,142,178"
Steve Smith,"$8,100,000","$12,112,272"
Elden Campbell,"$8,050,000","$12,037,504"
Danny Manning,"$8,030,000","$12,007,597"
Derrick Coleman,"$8,000,000","$11,962,737"
Avery Johnson,"$8,000,000","$11,962,737"
Theo Ratliff,"$7,800,000","$11,663,669"
Kerry Kittles,"$7,770,000","$11,618,809"
Jason Kidd,"$7,680,000","$11,484,228"
Glen Rice,"$7,578,900","$11,333,049"
Kenny Anderson,"$7,520,000","$11,244,973"
Matt Geiger,"$7,515,840","$11,238,752"
Tyrone Hill,"$7,300,000","$10,915,998"
Kendall Gill,"$7,000,000","$10,467,395"
Clifford Robinson,"$6,890,000","$10,302,907"
Christian Laettner,"$6,625,000","$9,906,642"
Horace Grant,"$6,500,000","$9,719,724"
Jamal Mashburn,"$6,200,000","$9,271,121"
Chris Dudley,"$6,200,000","$9,271,121"
Toni Kukoc,"$6,000,000","$8,972,053"
Dale Davis,"$6,000,000","$8,972,053"
Bryant Stith,"$5,920,000","$8,852,425"
Alan Henderson,"$5,910,000","$8,837,472"
Charles Oakley,"$5,760,000","$8,613,171"
Marcus Camby,"$5,750,000","$8,598,217"
Luc Longley,"$5,750,000","$8,598,217"
PJ Brown,"$5,740,000","$8,583,264"
Jermaine O'Neal,"$5,710,000","$8,538,404"
Donyell Marshall,"$5,630,000","$8,418,776"
Erick Dampier,"$5,610,000","$8,388,869"
Wesley Person,"$5,600,000","$8,373,916"
Chris Gatling,"$5,550,000","$8,299,149"
Anthony Mason,"$5,550,000","$8,299,149"
Ron Mercer,"$5,520,000","$8,254,289"
Steve Nash,"$5,500,000","$8,224,382"
Isaac Austin,"$5,500,000","$8,224,382"
Antonio Davis,"$5,500,000","$8,224,382"
Jim McIlvaine,"$5,400,000","$8,074,848"
Derrick McKey,"$5,400,000","$8,074,848"
Kelvin Cato,"$5,330,000","$7,970,174"
Jerry Stackhouse,"$5,310,000","$7,940,267"
Austin Croshere,"$5,300,000","$7,925,313"
Sean Elliott,"$5,300,000","$7,925,313"
Greg Ostertag,"$5,200,000","$7,775,779"
Charlie Ward,"$5,040,000","$7,536,524"
Lorenzen Wright,"$4,950,000","$7,401,944"
Loy Vaught,"$4,812,025","$7,195,624"
Chris Mills,"$4,800,000","$7,177,642"
Mookie Blaylock,"$4,800,000","$7,177,642"
Robert Horry,"$4,800,000","$7,177,642"
Hersey Hawkins,"$4,760,000","$7,117,828"
Chris Childs,"$4,680,000","$6,998,201"
Chris Mullin,"$4,650,000","$6,953,341"
Bobby Phills,"$4,640,000","$6,938,387"
Bryon Russell,"$4,570,000","$6,833,713"
Tariq Abdul-Wahad,"$4,500,000","$6,729,040"
Bo Outlaw,"$4,500,000","$6,729,040"
Bob Sura,"$4,390,000","$6,564,552"
Jason Caffey,"$4,380,000","$6,549,598"
Robert Pack,"$4,320,000","$6,459,878"
Brent Barry,"$4,320,000","$6,459,878"
Vitaly Potapenko,"$4,290,000","$6,415,018"
Brevin Knight,"$4,250,000","$6,355,204"
Howard Eisley,"$4,250,000","$6,355,204"
Walt Williams,"$4,250,000","$6,355,204"
Scott Williams,"$4,200,000","$6,280,437"
Dan Majerle,"$4,050,000","$6,056,136"
Brad Miller,"$4,000,000","$5,981,368"
Ben Wallace,"$4,000,000","$5,981,368"
Duane Causwell,"$4,000,000","$5,981,368"
Sam Cassell,"$4,000,000","$5,981,368"
Danny Fortson,"$3,950,000","$5,906,601"
Corliss Williamson,"$3,940,000","$5,891,648"
Cedric Ceballos,"$3,937,500","$5,887,910"
Jahidi White,"$3,922,000","$5,864,732"
Cuttino Mobley,"$3,920,000","$5,861,741"
Rashard Lewis,"$3,920,000","$5,861,741"
Scot Pollard,"$3,920,000","$5,861,741"
Eric Williams,"$3,890,000","$5,816,881"
Voshon Lenard,"$3,780,000","$5,652,393"
Nick Anderson,"$3,750,000","$5,607,533"
Dana Barros,"$3,700,000","$5,532,766"
Michael Olowokandi,"$3,697,440","$5,528,938"
Doug West,"$3,680,000","$5,502,859"
Kurt Thomas,"$3,680,000","$5,502,859"
Elton Brand,"$3,629,160","$5,426,836"
Adonal Foyle,"$3,580,000","$5,353,325"
Mark Jackson,"$3,570,000","$5,338,371"
