Player,Salary,Adjusted
Kevin Garnett,"$25,200,000","$36,111,642"
Shaquille O'Neal,"$23,571,429","$33,777,897"
Alonzo Mourning,"$20,629,800","$29,562,537"
Juwan Howard,"$20,625,000","$29,555,659"
Scottie Pippen,"$19,727,524","$28,269,574"
Karl Malone,"$19,250,000","$27,585,282"
Rasheed Wallace,"$16,200,000","$23,214,627"
Dikembe Mutombo,"$16,105,264","$23,078,870"
Allan Houston,"$14,343,750","$20,554,617"
Chris Webber,"$14,343,750","$20,554,617"
Shawn Kemp,"$13,651,028","$19,561,945"
Bryant Reeves,"$12,999,998","$18,629,018"
Gary Payton,"$12,636,117","$18,107,576"
Antonio McDyess,"$12,600,000","$18,055,821"
Shareef Abdur-Rahim,"$12,375,000","$17,733,395"
Antoine Walker,"$12,375,000","$17,733,395"
Vin Baker,"$12,375,000","$17,733,395"
Zydrunas Ilgauskas,"$12,375,000","$17,733,395"
Kobe Bryant,"$12,375,000","$17,733,395"
Ray Allen,"$12,375,000","$17,733,395"
Latrell Sprewell,"$12,375,000","$17,733,395"
Allen Iverson,"$12,375,000","$17,733,395"
Anfernee Hardaway,"$12,375,000","$17,733,395"
Stephon Marbury,"$12,375,000","$17,733,395"
Damon Stoudamire,"$12,375,000","$17,733,395"
Jalen Rose,"$12,072,500","$17,299,912"
Grant Hill,"$12,072,500","$17,299,912"
Tracy McGrady,"$12,072,500","$17,299,912"
Keith Van Horn,"$12,072,500","$17,299,912"
Tim Duncan,"$12,072,500","$17,299,912"
Reggie Miller,"$12,046,473","$17,262,615"
Antonio Davis,"$12,000,000","$17,196,020"
Michael Finley,"$11,953,125","$17,128,848"
Vlade Divac,"$11,248,076","$16,118,511"
Eddie Jones,"$11,212,500","$16,067,531"
Nick Van Exel,"$11,061,234","$15,850,766"
Brian Grant,"$11,027,862","$15,802,944"
Tom Gugliotta,"$10,892,000","$15,608,254"
Tim Thomas,"$10,750,000","$15,404,767"
David Robinson,"$10,500,000","$15,046,517"
Terrell Brandon,"$10,175,000","$14,580,791"
Paul Pierce,"$10,067,750","$14,427,102"
Dirk Nowitzki,"$10,067,750","$14,427,102"
Antawn Jamison,"$10,067,750","$14,427,102"
Vince Carter,"$10,067,750","$14,427,102"
Steve Smith,"$9,900,000","$14,186,716"
Glenn Robinson,"$9,860,000","$14,129,396"
Larry Johnson,"$9,610,714","$13,772,169"
Derrick Coleman,"$9,380,000","$13,441,555"
Theo Ratliff,"$9,375,000","$13,434,390"
Jason Kidd,"$9,265,000","$13,276,760"
Glen Rice,"$9,200,000","$13,183,615"
Kenny Anderson,"$9,185,000","$13,162,120"
Kerry Kittles,"$8,966,667","$12,849,248"
Matt Geiger,"$8,768,480","$12,565,246"
Mike Bibby,"$8,500,000","$12,180,514"
Clifford Robinson,"$8,421,875","$12,068,560"
Dale Davis,"$8,055,000","$11,542,828"
Toni Kukoc,"$8,050,000","$11,535,663"
Elden Campbell,"$8,050,000","$11,535,663"
John Stockton,"$7,875,000","$11,284,888"
Greg Ostertag,"$7,799,996","$11,177,407"
Jamal Mashburn,"$7,750,000","$11,105,762"
Raef LaFrentz,"$7,270,000","$10,417,922"
Maurice Taylor,"$7,150,000","$10,245,961"
Derek Anderson,"$7,144,500","$10,238,080"
Alan Henderson,"$7,091,250","$10,161,773"
PJ Brown,"$7,044,800","$10,095,210"
