Player,Salary,Adjusted
Kevin Garnett,"$28,000,000","$39,294,044"
Shaquille O'Neal,"$24,749,999","$34,733,127"
Dikembe Mutombo,"$17,714,291","$24,859,504"
Rasheed Wallace,"$17,000,000","$23,857,098"
Allan Houston,"$15,937,500","$22,366,029"
Chris Webber,"$15,937,500","$22,366,029"
Shawn Kemp,"$14,941,935","$20,968,895"
Shareef Abdur-Rahim,"$13,500,000","$18,945,342"
Vin Baker,"$13,500,000","$18,945,342"
Zydrunas Ilgauskas,"$13,500,000","$18,945,342"
Antoine Walker,"$13,500,000","$18,945,342"
Kobe Bryant,"$13,500,000","$18,945,342"
Latrell Sprewell,"$13,500,000","$18,945,342"
Antonio McDyess,"$13,500,000","$18,945,342"
Ray Allen,"$13,500,000","$18,945,342"
Allen Iverson,"$13,500,000","$18,945,342"
Anfernee Hardaway,"$13,500,000","$18,945,342"
Stephon Marbury,"$13,500,000","$18,945,342"
Michael Finley,"$13,281,250","$18,638,358"
Keith Van Horn,"$13,279,750","$18,636,253"
Grant Hill,"$13,279,750","$18,636,253"
Tracy McGrady,"$13,279,750","$18,636,253"
Jalen Rose,"$13,279,750","$18,636,253"
Jason Kidd,"$13,152,000","$18,456,974"
Jermaine O'Neal,"$13,152,000","$18,456,974"
Antonio Davis,"$12,925,000","$18,138,411"
Tim Duncan,"$12,676,125","$17,789,150"
Damon Stoudamire,"$12,375,000","$17,366,564"
Eddie Jones,"$12,333,750","$17,308,675"
Brian Grant,"$12,130,648","$17,023,650"
Vlade Divac,"$12,051,510","$16,912,591"
Nick Van Exel,"$11,956,625","$16,779,434"
Tim Thomas,"$11,825,000","$16,594,717"
Tom Gugliotta,"$11,670,000","$16,377,196"
Paul Pierce,"$11,326,219","$15,894,748"
Antawn Jamison,"$11,326,219","$15,894,748"
Dirk Nowitzki,"$11,326,219","$15,894,748"
Vince Carter,"$11,326,219","$15,894,748"
Terrell Brandon,"$11,100,000","$15,577,281"
Steve Francis,"$10,960,000","$15,380,811"
Elton Brand,"$10,960,000","$15,380,811"
Baron Davis,"$10,960,000","$15,380,811"
Shawn Marion,"$10,960,000","$15,380,811"
Glenn Robinson,"$10,730,000","$15,058,039"
Theo Ratliff,"$10,156,250","$14,252,862"
Lamar Odom,"$9,963,596","$13,982,499"
Mike Bibby,"$9,500,000","$13,331,908"
Kerry Kittles,"$9,266,666","$13,004,456"
Dale Davis,"$9,061,875","$12,717,061"
Toni Kukoc,"$9,056,250","$12,709,167"
Greg Ostertag,"$8,666,666","$12,162,441"
Gilbert Arenas,"$8,536,000","$11,979,070"
Jamal Mashburn,"$8,525,000","$11,963,633"
Jason Terry,"$8,333,333","$11,694,655"
Raef LaFrentz,"$8,178,750","$11,477,720"
Andre Miller,"$8,000,000","$11,226,869"
Wally Szczerbiak,"$8,000,000","$11,226,869"
PJ Brown,"$8,000,000","$11,226,869"
Glen Rice,"$7,885,000","$11,065,482"
Erick Dampier,"$7,842,000","$11,005,139"
Maurice Taylor,"$7,800,000","$10,946,198"
Derek Anderson,"$7,794,000","$10,937,777"
Wesley Person,"$7,700,000","$10,805,862"
Alan Henderson,"$7,682,188","$10,780,865"
Austin Croshere,"$7,610,000","$10,679,559"
Kelvin Cato,"$7,344,000","$10,306,266"
Marcus Camby,"$7,250,000","$10,174,350"
Rashard Lewis,"$7,012,987","$9,841,736"
Corey Maggette,"$7,000,000","$9,823,511"
Bonzi Wells,"$7,000,000","$9,823,511"
Brad Miller,"$7,000,000","$9,823,511"
Jerry Stackhouse,"$6,906,250","$9,691,946"
Doug Christie,"$6,900,000","$9,683,175"
Ron Mercer,"$6,750,000","$9,472,671"
Shandon Anderson,"$6,700,000","$9,402,503"
Chris Mills,"$6,600,000","$9,262,167"
Lorenzen Wright,"$6,600,000","$9,262,167"
Bo Outlaw,"$6,585,000","$9,241,117"
Richard Hamilton,"$6,500,000","$9,121,831"
Hakeem Olajuwon,"$6,326,923","$8,878,942"
Bob Sura,"$6,266,666","$8,794,380"
Predrag Stojakovic,"$6,250,000","$8,770,992"
Eddie Robinson,"$6,204,000","$8,706,437"
Tariq Abdul-Wahad,"$6,187,500","$8,683,282"
Jason Williams,"$6,187,500","$8,683,282"
Michael Dickerson,"$6,187,500","$8,683,282"
Charlie Ward,"$6,030,000","$8,462,253"
Jerome Williams,"$5,987,500","$8,402,610"
Howard Eisley,"$5,843,750","$8,200,877"
Jonathan Bender,"$5,800,000","$8,139,480"
Steve Nash,"$5,750,000","$8,069,312"
Vitaly Potapenko,"$5,715,000","$8,020,195"
Al Harrington,"$5,692,500","$7,988,619"
Jason Caffey,"$5,687,500","$7,981,602"
Jahidi White,"$5,676,091","$7,965,591"
Christian Laettner,"$5,625,000","$7,893,892"
Radoslav Nesterovic,"$5,600,000","$7,858,808"
Eric Williams,"$5,540,000","$7,774,607"
Ben Wallace,"$5,500,000","$7,718,473"
Kenny Thomas,"$5,500,000","$7,718,473"
Alvin Williams,"$5,500,000","$7,718,473"
Metta World Peace,"$5,473,684","$7,681,542"
Calvin Booth,"$5,446,800","$7,643,814"
Avery Johnson,"$5,445,600","$7,642,130"
Clarence Weatherspoon,"$5,445,600","$7,642,130"
Joe Smith,"$5,445,600","$7,642,130"
Todd MacCulloch,"$5,445,600","$7,642,130"
Ruben Patterson,"$5,445,600","$7,642,130"
Danny Fortson,"$5,428,602","$7,618,276"
Brent Barry,"$5,400,000","$7,578,137"
Cuttino Mobley,"$5,394,125","$7,569,892"
Kurt Thomas,"$5,394,125","$7,569,892"
Scot Pollard,"$5,309,563","$7,451,221"
Kenyon Martin,"$5,128,689","$7,197,390"
Sam Cassell,"$5,062,500","$7,104,503"
Ricky Davis,"$5,000,600","$7,017,635"
Chauncey Billups,"$5,000,600","$7,017,635"
Jerome James,"$5,000,600","$7,017,635"
Keon Clark,"$5,000,600","$7,017,635"
Larry Hughes,"$5,000,600","$7,017,635"
Nazr Mohammed,"$5,000,000","$7,016,793"
Corliss Williamson,"$5,000,000","$7,016,793"
Reggie Miller,"$5,000,000","$7,016,793"
Aaron McKie,"$5,000,000","$7,016,793"
Brevin Knight,"$5,000,000","$7,016,793"
Alonzo Mourning,"$4,917,000","$6,900,314"
Scottie Pippen,"$4,917,000","$6,900,314"
Gary Payton,"$4,917,000","$6,900,314"
James Posey,"$4,917,000","$6,900,314"
Michael Olowokandi,"$4,917,000","$6,900,314"
Juwan Howard,"$4,917,000","$6,900,314"
Malik Rose,"$4,916,250","$6,899,262"
Rick Fox,"$4,734,797","$6,644,618"
Clifford Robinson,"$4,700,000","$6,595,786"
Donyell Marshall,"$4,605,196","$6,462,742"
Stromile Swift,"$4,592,418","$6,444,809"
Devean George,"$4,546,000","$6,379,668"
Eric Snow,"$4,500,000","$6,315,114"
Robert Horry,"$4,500,000","$6,315,114"
Lamond Murray,"$4,500,000","$6,315,114"
Michael Stewart,"$4,480,000","$6,287,047"
Ervin Johnson,"$4,418,156","$6,200,257"
Travis Knight,"$4,402,500","$6,178,286"
Tony Battie,"$4,400,000","$6,174,778"
Adonal Foyle,"$4,400,000","$6,174,778"
Anthony Mason,"$4,348,094","$6,101,935"
Matt Harpring,"$4,290,000","$6,020,408"
Kwame Brown,"$4,252,080","$5,967,193"
Zeljko Rebraca,"$4,200,000","$5,894,106"
Yao Ming,"$4,147,560","$5,820,514"
Darius Miles,"$4,130,701","$5,796,855"
LeBron James,"$4,018,920","$5,639,986"
Elden Campbell,"$4,000,000","$5,613,434"
Jeff Foster,"$4,000,000","$5,613,434"
Derrick Coleman,"$4,000,000","$5,613,434"
David Wesley,"$3,960,000","$5,557,300"
Chucky Atkins,"$3,900,000","$5,473,099"
Marc Jackson,"$3,900,000","$5,473,099"
Tyson Chandler,"$3,804,360","$5,338,881"
Marcus Fizer,"$3,726,994","$5,230,309"
Jay Williams,"$3,710,880","$5,207,695"
Bruce Bowen,"$3,650,000","$5,122,259"
Lawrence Funderburke,"$3,600,000","$5,052,091"
Darko Milicic,"$3,595,800","$5,046,197"
Shawn Bradley,"$3,500,000","$4,911,755"
Moochie Norris,"$3,500,000","$4,911,755"
Eduardo Najera,"$3,428,572","$4,811,516"
Mike Miller,"$3,380,457","$4,743,993"
Mike Dunleavy,"$3,332,520","$4,676,721"
Jeff McInnis,"$3,300,000","$4,631,083"
Carmelo Anthony,"$3,229,200","$4,531,726"
