Player,Salary,Adjusted
Kevin Garnett,"$22,400,000","$32,441,869"
Shaquille O'Neal,"$21,428,572","$31,034,952"
Alonzo Mourning,"$18,754,800","$27,162,534"
Juwan Howard,"$18,750,000","$27,155,582"
Scottie Pippen,"$18,083,564","$26,190,385"
Karl Malone,"$17,500,000","$25,345,210"
Jayson Williams,"$15,125,000","$21,905,503"
Rasheed Wallace,"$14,400,000","$20,855,487"
Dikembe Mutombo,"$14,315,790","$20,733,526"
Gary Payton,"$12,926,493","$18,721,410"
Allan Houston,"$12,750,000","$18,465,796"
Chris Webber,"$12,750,000","$18,465,796"
Shawn Kemp,"$12,660,000","$18,335,449"
Damon Stoudamire,"$12,375,000","$17,922,684"
Reggie Miller,"$12,045,075","$17,444,855"
Antonio McDyess,"$11,700,000","$16,945,083"
Bryant Reeves,"$11,555,554","$16,735,882"
Larry Johnson,"$11,335,714","$16,417,489"
Shareef Abdur-Rahim,"$11,250,000","$16,293,349"
Antoine Walker,"$11,250,000","$16,293,349"
Zydrunas Ilgauskas,"$11,250,000","$16,293,349"
Kobe Bryant,"$11,250,000","$16,293,349"
Ray Allen,"$11,250,000","$16,293,349"
Latrell Sprewell,"$11,250,000","$16,293,349"
Vin Baker,"$11,250,000","$16,293,349"
Allen Iverson,"$11,250,000","$16,293,349"
Anfernee Hardaway,"$11,250,000","$16,293,349"
Stephon Marbury,"$11,250,000","$16,293,349"
Mitch Richmond,"$11,000,000","$15,931,274"
Antonio Davis,"$11,000,000","$15,931,275"
Keith Van Horn,"$10,865,250","$15,736,117"
Jalen Rose,"$10,865,250","$15,736,117"
Grant Hill,"$10,865,250","$15,736,117"
Tracy McGrady,"$10,865,250","$15,736,117"
Tim Duncan,"$10,865,250","$15,736,117"
Michael Finley,"$10,625,000","$15,388,163"
Vlade Divac,"$10,444,642","$15,126,951"
Nick Van Exel,"$10,164,642","$14,721,428"
Tom Gugliotta,"$10,114,000","$14,648,083"
Eddie Jones,"$10,091,250","$14,615,134"
Brian Grant,"$9,925,076","$14,374,465"
Tim Thomas,"$9,675,000","$14,012,280"
Theo Ratliff,"$9,667,969","$14,002,097"
David Robinson,"$9,500,000","$13,758,828"
Terrell Brandon,"$9,300,000","$13,469,169"
Steve Smith,"$9,000,000","$13,034,679"
Glenn Robinson,"$8,990,000","$13,020,196"
Glen Rice,"$8,800,000","$12,745,020"
Derrick Coleman,"$8,710,000","$12,614,673"
Jason Kidd,"$8,447,500","$12,234,495"
Kenny Anderson,"$8,350,000","$12,093,286"
Kerry Kittles,"$8,166,667","$11,827,765"
Matt Geiger,"$8,142,160","$11,792,272"
Elden Campbell,"$7,975,000","$11,550,174"
Toni Kukoc,"$7,906,783","$11,451,376"
Clifford Robinson,"$7,656,250","$11,088,529"
Marcus Camby,"$7,300,000","$10,572,573"
Chris Dudley,"$7,200,000","$10,427,743"
Dale Davis,"$7,010,000","$10,152,567"
John Stockton,"$7,000,000","$10,138,084"
Jamal Mashburn,"$6,975,000","$10,101,876"
Greg Ostertag,"$6,933,328","$10,041,523"
Ron Mercer,"$6,750,000","$9,776,009"
Tyrone Hill,"$6,600,000","$9,558,765"
Charles Oakley,"$6,545,000","$9,479,108"
Donyell Marshall,"$6,510,000","$9,428,418"
Alan Henderson,"$6,500,312","$9,414,387"
Maurice Taylor,"$6,500,000","$9,413,935"
Derek Anderson,"$6,495,000","$9,406,693"
PJ Brown,"$6,404,800","$9,276,057"
Jermaine O'Neal,"$6,325,000","$9,160,483"
Luc Longley,"$6,325,000","$9,160,483"
Austin Croshere,"$6,310,000","$9,138,758"
Wesley Person,"$6,300,000","$9,124,275"
Erick Dampier,"$6,235,000","$9,030,136"
Kelvin Cato,"$6,048,000","$8,759,304"
Jim McIlvaine,"$6,000,000","$8,689,786"
