Player,Salary,Adjusted
Kobe Bryant,"$30,453,000","$33,621,231"
Dirk Nowitzki,"$22,721,381","$25,085,239"
Gilbert Arenas,"$22,346,536","$24,671,397"
Amare Stoudemire,"$21,679,893","$23,935,398"
Carmelo Anthony,"$21,490,000","$23,725,750"
Joe Johnson,"$21,466,718","$23,700,045"
Dwight Howard,"$20,513,178","$22,647,302"
Pau Gasol,"$19,285,850","$21,292,287"
Chris Bosh,"$19,067,500","$21,051,220"
LeBron James,"$19,067,500","$21,051,220"
Kevin Durant,"$18,773,176","$20,726,276"
Chris Paul,"$18,668,431","$20,610,634"
Dwyane Wade,"$18,536,000","$20,464,425"
Deron Williams,"$18,466,130","$20,387,286"
Rudy Gay,"$17,888,932","$19,750,038"
Zach Randolph,"$17,800,000","$19,651,854"
Brandon Roy,"$17,779,458","$19,629,175"
Derrick Rose,"$17,632,688","$19,467,135"
Blake Griffin,"$16,402,500","$18,108,962"
Paul Pierce,"$15,333,334","$16,928,564"
Carlos Boozer,"$15,300,000","$16,891,762"
Marc Gasol,"$14,860,523","$16,406,563"
Brook Lopez,"$14,694,000","$16,222,716"
Kevin Love,"$14,693,906","$16,222,612"
Russell Westbrook,"$14,693,906","$16,222,612"
Emeka Okafor,"$14,544,687","$16,057,869"
Danny Granger,"$14,379,240","$15,875,209"
Luol Deng,"$14,312,125","$15,801,112"
Roy Hibbert,"$14,283,844","$15,769,888"
Eric Gordon,"$14,283,844","$15,769,888"
Andrew Bogut,"$14,200,000","$15,677,322"
Tyson Chandler,"$14,100,538","$15,567,512"
LaMarcus Aldridge,"$14,100,000","$15,566,918"
Josh Smith,"$14,000,000","$15,456,514"
David Lee,"$13,878,000","$15,321,822"
James Harden,"$13,668,750","$15,090,802"
Al Jefferson,"$13,500,000","$14,904,496"
Ben Gordon,"$13,200,000","$14,573,285"
Nenê,"$13,000,000","$14,352,477"
Andre Iguodala,"$12,868,632","$14,207,442"
Tony Parker,"$12,500,000","$13,800,459"
Serge Ibaka,"$12,250,000","$13,524,450"
Nikola Pekovic,"$12,100,000","$13,358,844"
Al Horford,"$12,000,000","$13,248,441"
Rajon Rondo,"$12,000,000","$13,248,441"
Kris Humphries,"$12,000,000","$13,248,441"
David West,"$12,000,000","$13,248,441"
Tyreke Evans,"$11,796,247","$13,023,490"
Joakim Noah,"$11,600,000","$12,806,826"
Kevin Garnett,"$11,532,468","$12,732,268"
Richard Jefferson,"$11,046,000","$12,195,190"
Jrue Holiday,"$11,000,000","$12,144,404"
Andrea Bargnani,"$11,000,000","$12,144,404"
DeAndre Jordan,"$10,986,550","$12,129,555"
Nicolas Batum,"$10,920,250","$12,056,357"
Ty Lawson,"$10,786,517","$11,908,711"
JaVale McGee,"$10,750,000","$11,868,395"
