Player,Salary,Adjusted
Kevin Garnett,"$23,750,000","$29,386,224"
Michael Finley,"$21,696,750","$26,845,707"
Shaquille O'Neal,"$20,000,000","$24,746,294"
Jason Kidd,"$19,728,000","$24,409,745"
Jermaine O'Neal,"$19,728,000","$24,409,745"
Chris Webber,"$19,602,173","$24,254,056"
Kobe Bryant,"$19,490,625","$24,116,037"
Tim Duncan,"$19,014,188","$23,526,535"
Tracy McGrady,"$19,014,187","$23,526,533"
Allen Iverson,"$19,012,500","$23,524,446"
Stephon Marbury,"$19,012,500","$23,524,446"
Steve Francis,"$17,500,000","$21,653,007"
Baron Davis,"$16,440,000","$20,341,454"
Shawn Marion,"$16,440,000","$20,341,454"
Paul Pierce,"$16,360,094","$20,242,585"
Dirk Nowitzki,"$16,360,094","$20,242,585"
Antawn Jamison,"$16,360,094","$20,242,585"
Ray Allen,"$16,000,000","$19,797,035"
Ben Wallace,"$15,500,000","$19,178,378"
Elton Brand,"$15,344,000","$18,985,357"
Rashard Lewis,"$14,880,000","$18,411,243"
Michael Redd,"$14,520,000","$17,965,809"
Yao Ming,"$13,762,775","$17,028,884"
Amare Stoudemire,"$13,762,775","$17,028,884"
Pau Gasol,"$13,735,000","$16,994,517"
Andrei Kirilenko,"$13,735,000","$16,994,517"
Mike Bibby,"$13,500,000","$16,703,748"
Joe Johnson,"$13,488,377","$16,689,367"
Zach Randolph,"$13,333,333","$16,497,529"
Vince Carter,"$13,320,000","$16,481,032"
Kenyon Martin,"$13,250,000","$16,394,420"
Lamar Odom,"$13,248,596","$16,392,683"
LeBron James,"$13,041,250","$16,136,130"
Carmelo Anthony,"$13,041,250","$16,136,130"
Dwyane Wade,"$13,041,250","$16,136,130"
Wally Szczerbiak,"$12,775,000","$15,806,695"
Rasheed Wallace,"$12,540,000","$15,515,926"
Chris Bosh,"$12,455,000","$15,410,755"
Raef LaFrentz,"$12,440,787","$15,393,169"
Richard Jefferson,"$12,200,000","$15,095,239"
Larry Hughes,"$12,000,084","$14,847,880"
Gilbert Arenas,"$11,950,400","$14,786,406"
Theo Ratliff,"$11,666,666","$14,435,337"
Predrag Stojakovic,"$11,664,000","$14,432,039"
Steve Nash,"$11,375,000","$14,074,455"
Carlos Boozer,"$11,260,483","$13,932,761"
Kirk Hinrich,"$11,250,000","$13,919,790"
Marcus Camby,"$11,250,000","$13,919,790"
Jason Richardson,"$11,111,110","$13,747,940"
Derek Fisher,"$10,723,900","$13,268,839"
David West,"$10,650,000","$13,177,401"
Erick Dampier,"$10,590,500","$13,103,781"
Brad Miller,"$10,500,000","$12,991,804"
Tony Parker,"$10,500,000","$12,991,804"
Tyson Chandler,"$10,250,000","$12,682,476"
Samuel Dalembert,"$10,250,000","$12,682,476"
Adonal Foyle,"$10,157,090","$12,567,516"
Zydrunas Ilgauskas,"$10,142,156","$12,549,039"
Chauncey Billups,"$10,000,000","$12,373,147"
Richard Hamilton,"$10,000,000","$12,373,147"
Gerald Wallace,"$9,500,000","$11,754,489"
Andre Miller,"$9,366,666","$11,589,513"
Bobby Simmons,"$9,280,000","$11,482,280"
Troy Murphy,"$9,206,349","$11,391,151"
Manu Ginobili,"$9,079,811","$11,234,583"
Kwame Brown,"$9,075,000","$11,228,631"
Josh Howard,"$9,000,000","$11,135,832"
Boris Diaw,"$9,000,000","$11,135,832"
Eddy Curry,"$8,947,543","$11,070,926"
Jason Williams,"$8,937,500","$11,058,500"
Jason Terry,"$8,898,000","$11,009,626"
