Player,Salary,Adjusted
Kobe Bryant,"$23,500,000","$25,418,113"
Joe Johnson,"$23,180,790","$25,072,849"
Carmelo Anthony,"$22,458,401","$24,291,497"
Amare Stoudemire,"$21,896,658","$23,683,903"
Dwight Howard,"$21,436,271","$23,185,939"
LeBron James,"$20,644,400","$22,329,434"
Chris Bosh,"$20,644,400","$22,329,434"
Chris Paul,"$20,068,563","$21,706,596"
Kevin Durant,"$19,997,513","$21,629,747"
Deron Williams,"$19,754,465","$21,366,861"
Rudy Gay,"$19,317,326","$20,894,042"
Derrick Rose,"$18,862,876","$20,402,499"
Blake Griffin,"$17,632,688","$19,071,900"
Carlos Boozer,"$16,800,000","$18,171,247"
Zach Randolph,"$16,500,000","$17,846,760"
Marc Gasol,"$15,829,688","$17,121,736"
Paul George,"$15,800,000","$17,089,625"
Kevin Love,"$15,719,063","$17,002,082"
Russell Westbrook,"$15,719,062","$17,002,081"
Brook Lopez,"$15,719,000","$17,002,014"
LaMarcus Aldridge,"$15,200,000","$16,440,652"
David Lee,"$15,012,000","$16,237,307"
Dwyane Wade,"$15,000,000","$16,224,327"
Josh Smith,"$14,945,778","$16,165,680"
Roy Hibbert,"$14,898,938","$16,115,017"
Jeremy Lin,"$14,898,938","$16,115,017"
Eric Gordon,"$14,898,938","$16,115,017"
Omer Asik,"$14,898,938","$16,115,017"
Gordon Hayward,"$14,746,000","$15,949,596"
Chandler Parsons,"$14,700,000","$15,899,841"
James Harden,"$14,693,906","$15,893,250"
Tyson Chandler,"$14,596,888","$15,788,313"
Brandon Roy,"$14,399,332","$15,574,632"
DeMarcus Cousins,"$13,701,250","$14,819,571"
John Wall,"$13,701,250","$14,819,571"
Al Jefferson,"$13,500,000","$14,601,895"
Eric Bledsoe,"$13,000,000","$14,061,084"
Nenê,"$13,000,000","$14,061,084"
Andrew Bogut,"$12,972,973","$14,031,851"
Derrick Favors,"$12,950,000","$14,007,003"
Rajon Rondo,"$12,909,090","$13,962,753"
Joakim Noah,"$12,700,000","$13,736,597"
Tony Parker,"$12,500,000","$13,520,273"
Andre Iguodala,"$12,289,544","$13,292,639"
Serge Ibaka,"$12,250,000","$13,249,867"
Nikola Pekovic,"$12,100,000","$13,087,624"
Al Horford,"$12,000,000","$12,979,462"
David West,"$12,000,000","$12,979,462"
Kevin Garnett,"$12,000,000","$12,979,462"
Andrea Bargnani,"$12,000,000","$12,979,462"
Kyle Lowry,"$12,000,000","$12,979,462"
Ty Lawson,"$11,595,506","$12,541,952"
DeAndre Jordan,"$11,440,123","$12,373,887"
Nicolas Batum,"$11,390,500","$12,320,213"
Tyreke Evans,"$11,265,416","$12,184,920"
JaVale McGee,"$11,250,000","$12,168,245"
Larry Sanders,"$11,000,000","$11,897,840"
Jrue Holiday,"$11,000,000","$11,897,840"
Danilo Gallinari,"$10,854,850","$11,740,843"
Stephen Curry,"$10,629,213","$11,496,789"
Marcin Gortat,"$10,434,782","$11,286,488"
Tim Duncan,"$10,361,446","$11,207,166"
Gerald Wallace,"$10,105,855","$10,930,713"
Anderson Varejao,"$9,800,000","$10,599,894"
Brendan Haywood,"$9,798,000","$10,597,730"
Luol Deng,"$9,714,461","$10,507,373"
Steve Nash,"$9,701,000","$10,492,813"
Kendrick Perkins,"$9,588,889","$10,371,551"
Paul Millsap,"$9,500,000","$10,275,407"
DeMar DeRozan,"$9,500,000","$10,275,407"
Tyrus Thomas,"$9,460,664","$10,232,860"
Mike Miller,"$9,332,000","$10,093,694"
Tiago Splitter,"$9,250,000","$10,005,002"
Jeff Green,"$9,200,000","$9,950,921"
Thaddeus Young,"$9,160,870","$9,908,597"
Lance Stephenson,"$9,000,000","$9,734,596"
Jordan Hill,"$9,000,000","$9,734,596"
Mike Conley,"$8,760,000","$9,475,007"
Monta Ellis,"$8,720,000","$9,431,742"
Marcus Thornton,"$8,697,500","$9,407,406"
Trevor Ariza,"$8,600,000","$9,301,948"
Channing Frye,"$8,579,088","$9,279,329"
Landry Fields,"$8,500,000","$9,193,785"
Ryan Anderson,"$8,491,500","$9,184,592"
Marcus Camby,"$8,354,416","$9,036,318"
Drew Gooden,"$8,128,490","$8,791,952"
Jeff Teague,"$8,000,000","$8,652,974"
Taj Gibson,"$8,000,000","$8,652,974"
Brandon Jennings,"$8,000,000","$8,652,974"
George Hill,"$8,000,000","$8,652,974"
OJ Mayo,"$8,000,000","$8,652,974"
Boris Diaw,"$8,000,000","$8,652,974"
Dirk Nowitzki,"$7,974,482","$8,625,374"
Ersan Ilyasova,"$7,900,000","$8,544,812"
Glen Davis,"$7,827,985","$8,466,919"
Tayshaun Prince,"$7,707,865","$8,336,995"
Al Harrington,"$7,609,800","$8,230,926"
Arron Afflalo,"$7,562,500","$8,179,765"
Goran Dragic,"$7,500,000","$8,112,163"
Kyrie Irving,"$7,459,924","$8,068,816"
Josh Childress,"$7,317,500","$7,914,767"
Wesley Matthews,"$7,245,640","$7,837,042"
Isaiah Thomas,"$7,238,606","$7,829,434"
Avery Bradley,"$7,191,011","$7,777,954"
Pau Gasol,"$7,128,000","$7,709,800"
Jose Calderon,"$7,097,191","$7,676,476"
Travis Outlaw,"$7,000,000","$7,571,352"
Marvin Williams,"$7,000,000","$7,571,353"
Manu Ginobili,"$7,000,000","$7,571,353"
Amir Johnson,"$7,000,000","$7,571,353"
Brandon Bass,"$6,950,000","$7,517,271"
JJ Redick,"$6,792,500","$7,346,916"
Kevin Martin,"$6,792,500","$7,346,916"
Wilson Chandler,"$6,754,913","$7,306,261"
Carl Landry,"$6,750,000","$7,300,947"
Derrick Williams,"$6,679,866","$7,225,089"
Jason Richardson,"$6,601,125","$7,139,921"
Greivis Vasquez,"$6,400,000","$6,922,379"
Jarrett Jack,"$6,300,000","$6,814,217"
Kyle Korver,"$6,253,521","$6,763,945"
Jason Thompson,"$6,037,500","$6,530,292"
Enes Kanter,"$6,008,106","$6,498,498"
Gerald Henderson,"$6,000,000","$6,489,731"
Jodie Meeks,"$6,000,000","$6,489,731"
JR Smith,"$5,982,375","$6,470,667"
Chuck Hayes,"$5,958,750","$6,445,114"
Patrick Patterson,"$5,831,326","$6,307,289"
Jose Juan Barea,"$5,822,078","$6,297,286"
PJ Tucker,"$5,700,000","$6,165,244"
Anthony Davis,"$5,607,240","$6,064,913"
Anthony Bennett,"$5,563,920","$6,018,057"
Andrew Wiggins,"$5,510,640","$5,960,428"
Greg Monroe,"$5,479,933","$5,927,215"
Jason Terry,"$5,450,000","$5,894,839"
Jamal Crawford,"$5,450,000","$5,894,839"
Courtney Lee,"$5,450,000","$5,894,839"
Louis Williams,"$5,450,000","$5,894,839"
Tristan Thompson,"$5,421,233","$5,863,724"
JJ Hickson,"$5,381,750","$5,821,018"
Martell Webster,"$5,381,750","$5,821,018"
Robin Lopez,"$5,340,229","$5,776,108"
Nikola Mirotic,"$5,305,000","$5,738,003"
Shaun Livingston,"$5,305,000","$5,738,003"
Spencer Hawes,"$5,305,000","$5,738,003"
Josh McRoberts,"$5,305,000","$5,738,003"
