Player,Salary,Adjusted
Kevin Garnett,"$24,751,934","$29,161,503"
Jason Kidd,"$21,372,000","$25,179,432"
Jermaine O'Neal,"$21,372,000","$25,179,432"
Kobe Bryant,"$21,262,500","$25,050,424"
Shaquille O'Neal,"$21,000,000","$24,741,160"
Allen Iverson,"$20,840,625","$24,553,392"
Stephon Marbury,"$20,840,625","$24,553,392"
Tim Duncan,"$20,598,704","$24,268,373"
Tracy McGrady,"$20,370,437","$23,999,440"
Steve Francis,"$19,816,550","$23,346,877"
Ray Allen,"$18,388,430","$21,664,337"
Dirk Nowitzki,"$18,077,904","$21,298,491"
Paul Pierce,"$18,077,903","$21,298,490"
Shawn Marion,"$17,810,000","$20,982,860"
Rashard Lewis,"$16,447,871","$19,378,067"
Michael Redd,"$15,780,000","$18,591,214"
Pau Gasol,"$15,106,000","$17,797,141"
Andrei Kirilenko,"$15,106,000","$17,797,141"
Yao Ming,"$15,070,550","$17,755,375"
Amare Stoudemire,"$15,070,550","$17,755,375"
Mike Bibby,"$14,983,603","$17,652,939"
Vince Carter,"$14,724,125","$17,347,235"
Zach Randolph,"$14,666,667","$17,279,540"
Gilbert Arenas,"$14,653,466","$17,263,988"
Ben Wallace,"$14,500,000","$17,083,182"
Kenyon Martin,"$14,431,816","$17,002,851"
LeBron James,"$14,410,581","$16,977,833"
Carmelo Anthony,"$14,410,581","$16,977,833"
Dwyane Wade,"$14,410,581","$16,977,833"
Chris Bosh,"$14,410,581","$16,977,833"
Joe Johnson,"$14,232,567","$16,768,105"
Lamar Odom,"$14,148,596","$16,669,175"
Rasheed Wallace,"$13,930,000","$16,411,636"
Wally Szczerbiak,"$13,775,000","$16,229,023"
Dwight Howard,"$13,758,000","$16,208,994"
Elton Brand,"$13,757,844","$16,208,810"
Richard Jefferson,"$13,200,000","$15,551,586"
Larry Hughes,"$12,827,676","$15,112,932"
Raef LaFrentz,"$12,722,500","$14,989,019"
Jason Richardson,"$12,664,335","$14,920,491"
Predrag Stojakovic,"$12,528,000","$14,759,869"
Steve Nash,"$12,250,000","$14,432,343"
Carlos Boozer,"$11,593,817","$13,659,261"
Erick Dampier,"$11,553,000","$13,611,172"
Tony Parker,"$11,550,000","$13,607,638"
Brad Miller,"$11,375,000","$13,401,461"
Tyson Chandler,"$11,350,000","$13,372,008"
Andre Iguodala,"$11,300,000","$13,313,100"
Baron Davis,"$11,250,000","$13,254,193"
Samuel Dalembert,"$11,238,564","$13,240,719"
Chauncey Billups,"$11,050,000","$13,018,562"
Monta Ellis,"$11,000,000","$12,959,655"
Al Jefferson,"$11,000,000","$12,959,655"
Zydrunas Ilgauskas,"$10,841,615","$12,773,054"
Richard Hamilton,"$10,812,500","$12,738,752"
Bobby Simmons,"$10,602,667","$12,491,537"
Andre Miller,"$10,333,334","$12,174,222"
Troy Murphy,"$10,126,984","$11,931,111"
Josh Smith,"$10,000,000","$11,781,504"
Kirk Hinrich,"$10,000,000","$11,781,504"
Marcus Camby,"$10,000,000","$11,781,504"
Josh Howard,"$9,945,000","$11,716,706"
Antawn Jamison,"$9,923,285","$11,691,123"
Manu Ginobili,"$9,905,248","$11,669,872"
David West,"$9,862,500","$11,619,509"
Eddy Curry,"$9,723,983","$11,456,315"
Darius Miles,"$9,704,752","$11,433,657"
Nenê,"$9,680,000","$11,404,496"
Emeka Okafor,"$9,537,500","$11,236,610"
Gerald Wallace,"$9,500,000","$11,192,429"
Tayshaun Prince,"$9,500,000","$11,192,429"
Chris Kaman,"$9,500,000","$11,192,429"
Luol Deng,"$9,385,000","$11,056,942"
Caron Butler,"$9,249,980","$10,897,868"
Al Harrington,"$9,226,250","$10,869,910"
Jason Terry,"$9,196,000","$10,834,271"
Cuttino Mobley,"$9,100,000","$10,721,169"
Mike Miller,"$9,028,575","$10,637,020"
Boris Diaw,"$9,000,000","$10,603,354"
Andris Biedrins,"$9,000,000","$10,603,354"
Mike Dunleavy,"$9,000,000","$10,603,354"
Antoine Walker,"$8,854,475","$10,431,904"
Kevin Martin,"$8,760,335","$10,320,992"
Quentin Richardson,"$8,685,500","$10,232,826"
Jamal Crawford,"$8,640,000","$10,179,220"
Kenny Thomas,"$8,562,500","$10,087,913"
Mark Blount,"$8,513,916","$10,030,674"
Mehmet Okur,"$8,500,000","$10,014,279"
Radoslav Nesterovic,"$8,400,000","$9,896,464"
Juwan Howard,"$8,355,619","$9,844,175"
Maurice Williams,"$8,353,000","$9,841,091"
Corey Maggette,"$8,275,862","$9,750,210"
Adonal Foyle,"$8,062,275","$9,498,572"
TJ Ford,"$8,000,000","$9,425,203"
Andres Nocioni,"$8,000,000","$9,425,203"
Devin Harris,"$7,800,000","$9,189,573"
Jameer Nelson,"$7,700,000","$9,071,758"
Malik Rose,"$7,647,500","$9,009,905"
Jose Calderon,"$7,438,018","$8,763,104"
Metta World Peace,"$7,400,000","$8,718,313"
Eric Snow,"$7,312,500","$8,615,225"
Donyell Marshall,"$7,213,169","$8,498,197"
Drew Gooden,"$7,151,183","$8,425,169"
Stephen Jackson,"$7,140,000","$8,411,994"
Darko Milicic,"$7,020,000","$8,270,616"
Jerry Stackhouse,"$7,000,000","$8,247,053"
Marquis Daniels,"$6,864,200","$8,087,060"
Hidayet Turkoglu,"$6,864,200","$8,087,060"
Etan Thomas,"$6,864,200","$8,087,060"
Jamaal Tinsley,"$6,750,000","$7,952,515"
Chris Wilcox,"$6,750,000","$7,952,515"
Marko Jaric,"$6,575,000","$7,746,339"
Udonis Haslem,"$6,575,000","$7,746,339"
Luke Ridnour,"$6,500,000","$7,657,978"
Bobby Jackson,"$6,487,888","$7,643,708"
Shane Battier,"$6,448,900","$7,597,774"
Ben Gordon,"$6,404,750","$7,545,759"
Nick Collison,"$6,350,000","$7,481,255"
Joel Przybilla,"$6,310,150","$7,434,306"
Brian Cardinal,"$6,300,000","$7,422,348"
Andrew Bogut,"$6,294,310","$7,415,644"
Dan Gadzuric,"$6,250,195","$7,363,670"
Mike James,"$6,244,093","$7,356,481"
Stromile Swift,"$6,200,000","$7,304,533"
Jerome James,"$6,200,000","$7,304,533"
Jason Collins,"$6,200,000","$7,304,533"
Antonio Daniels,"$6,200,000","$7,304,533"
Earl Watson,"$6,200,000","$7,304,533"
Leandro Barbosa,"$6,100,000","$7,186,718"
Nazr Mohammed,"$6,049,400","$7,127,103"
Vladimir Radmanovic,"$6,049,400","$7,127,103"
Tim Thomas,"$6,049,400","$7,127,103"
Jared Jeffries,"$6,049,400","$7,127,103"
Matt Harpring,"$6,000,000","$7,068,902"
Anderson Varejao,"$5,784,480","$6,814,987"
Jason Kapono,"$5,784,480","$6,814,987"
Speedy Claxton,"$5,757,818","$6,783,576"
Tony Battie,"$5,746,000","$6,769,652"
Marvin Williams,"$5,636,143","$6,640,224"
Mikki Moore,"$5,632,200","$6,635,579"
Morris Peterson,"$5,592,240","$6,588,500"
DeSagana Diop,"$5,585,000","$6,579,970"
James Posey,"$5,585,000","$6,579,970"
Chris Duhon,"$5,585,000","$6,579,970"
Beno Udrih,"$5,585,000","$6,579,970"
Jeff Foster,"$5,500,000","$6,479,827"
Brendan Haywood,"$5,500,000","$6,479,827"
Desmond Mason,"$5,300,000","$6,244,197"
Mickael Pietrus,"$5,300,000","$6,244,197"
Andrea Bargnani,"$5,176,440","$6,098,625"
John Salmons,"$5,104,000","$6,013,280"
Deron Williams,"$5,069,449","$5,972,573"
Matt Carroll,"$5,050,000","$5,949,659"
Greg Oden,"$5,011,680","$5,904,513"
Raja Bell,"$5,000,000","$5,890,752"
JR Smith,"$4,985,001","$5,873,081"
Kyle Korver,"$4,956,818","$5,839,877"
Rafer Alston,"$4,900,000","$5,772,937"
Derrick Rose,"$4,822,800","$5,681,984"
Joe Smith,"$4,795,000","$5,649,231"
Nenad Krstic,"$4,778,548","$5,629,848"
Derek Fisher,"$4,700,000","$5,537,307"
Reggie Evans,"$4,640,000","$5,466,618"
LaMarcus Aldridge,"$4,631,400","$5,456,486"
Kendrick Perkins,"$4,578,880","$5,394,609"
Chris Paul,"$4,574,189","$5,389,083"
Anthony Parker,"$4,550,000","$5,360,584"
Sasha Vujacic,"$4,524,887","$5,330,997"
Aleksandar Pavlovic,"$4,500,000","$5,301,677"
Ronny Turiaf,"$4,500,000","$5,301,677"
Louis Williams,"$4,500,000","$5,301,677"
Kevin Durant,"$4,484,040","$5,282,873"
Damon Jones,"$4,460,186","$5,254,770"
Luke Walton,"$4,420,000","$5,207,425"
Trenton Hassell,"$4,350,000","$5,124,954"
Jorge Garbajosa,"$4,350,000","$5,124,954"
Michael Beasley,"$4,314,960","$5,083,672"
Marcus Banks,"$4,260,000","$5,018,921"
Steve Blake,"$4,250,000","$5,007,139"
Darius Songaila,"$4,235,000","$4,989,467"
Kurt Thomas,"$4,200,000","$4,948,232"
Adam Morrison,"$4,159,200","$4,900,163"
Raymond Felton,"$4,148,716","$4,887,811"
Al Horford,"$4,026,720","$4,744,082"
Greg Buckner,"$4,010,005","$4,724,389"
James Jones,"$4,010,000","$4,724,383"
Zaza Pachulia,"$4,000,000","$4,712,601"
Kwame Brown,"$4,000,000","$4,712,601"
Travis Outlaw,"$4,000,000","$4,712,601"
Bruce Bowen,"$4,000,000","$4,712,601"
Antonio McDyess,"$3,950,419","$4,654,187"
OJ Mayo,"$3,875,040","$4,565,380"
Steven Hunter,"$3,862,600","$4,550,724"
Delonte West,"$3,850,000","$4,535,879"
Martell Webster,"$3,771,133","$4,442,962"
Tyrus Thomas,"$3,749,880","$4,417,922"
Daniel Gibson,"$3,700,000","$4,359,156"
CJ Miles,"$3,700,000","$4,359,156"
Amir Johnson,"$3,666,667","$4,319,885"
Ryan Gomes,"$3,650,000","$4,300,249"
Mike Conley,"$3,630,480","$4,277,251"
Rasual Butler,"$3,630,000","$4,276,686"
DeShawn Stevenson,"$3,616,072","$4,260,277"
Fabricio Oberto,"$3,600,000","$4,241,341"
Robert Swift,"$3,579,131","$4,216,754"
Brian Cook,"$3,500,000","$4,123,526"
Roger Mason,"$3,500,000","$4,123,526"
Russell Westbrook,"$3,493,680","$4,116,080"
Charlie Villanueva,"$3,448,050","$4,062,321"
Shelden Williams,"$3,395,760","$4,000,716"
Willie Green,"$3,388,000","$3,991,573"
Charlie Bell,"$3,354,480","$3,952,082"
Keyon Dooling,"$3,300,000","$3,887,896"
Jeff Green,"$3,287,640","$3,873,334"
Eduardo Najera,"$3,250,000","$3,828,989"
Chucky Atkins,"$3,240,000","$3,817,207"
Brian Scalabrine,"$3,206,897","$3,778,207"
Kris Humphries,"$3,200,000","$3,770,081"
Channing Frye,"$3,163,769","$3,727,396"
Kevin Love,"$3,163,680","$3,727,291"
Luis Scola,"$3,100,667","$3,653,052"
Trevor Ariza,"$3,100,000","$3,652,266"
Damien Wilkins,"$3,100,000","$3,652,266"
Marc Gasol,"$3,093,333","$3,644,411"
Brandon Roy,"$3,084,240","$3,633,698"
Carl Landry,"$3,000,000","$3,534,451"
Matt Bonner,"$2,987,000","$3,519,135"
Yi Jianlian,"$2,986,080","$3,518,051"
Ike Diogu,"$2,912,823","$3,431,743"
Kelenna Azubuike,"$2,900,000","$3,416,636"
Danilo Gallinari,"$2,873,520","$3,385,439"
Didier Ilunga-Mbenga,"$2,852,599","$3,360,790"
Randy Foye,"$2,815,560","$3,317,153"
Andrew Bynum,"$2,769,300","$3,262,652"
Andray Blatche,"$2,739,669","$3,227,742"
Corey Brewer,"$2,725,920","$3,211,543"
Sean May,"$2,661,027","$3,135,090"
Eddie House,"$2,650,000","$3,122,098"
Mark Madsen,"$2,630,000","$3,098,535"
Eric Gordon,"$2,623,200","$3,090,524"
Rashad McCants,"$2,620,126","$3,086,902"
Dorell Wright,"$2,612,835","$3,078,312"
Rudy Gay,"$2,579,400","$3,038,921"
Keith Bogans,"$2,565,000","$3,021,956"
Jackie Butler,"$2,552,000","$3,006,640"
Maurice Evans,"$2,500,000","$2,945,376"
Tony Allen,"$2,500,000","$2,945,376"
Chris Mihm,"$2,500,000","$2,945,376"
Craig Smith,"$2,500,000","$2,945,376"
Michael Finley,"$2,500,000","$2,945,376"
Brandan Wright,"$2,497,320","$2,942,218"
Jason Hart,"$2,484,000","$2,926,525"
Joey Graham,"$2,449,184","$2,885,507"
Joe Alexander,"$2,403,120","$2,831,237"
Danny Granger,"$2,329,805","$2,744,860"
Damon Stoudamire,"$2,325,000","$2,739,199"
Ricky Davis,"$2,300,000","$2,709,746"
Sebastian Telfair,"$2,300,000","$2,709,746"
Joakim Noah,"$2,295,480","$2,704,420"
Maceo Baston,"$2,272,860","$2,677,771"
Saer Sene,"$2,252,400","$2,653,666"
Tyronn Lue,"$2,250,000","$2,650,838"
DJ Augustin,"$2,208,960","$2,602,487"
Spencer Hawes,"$2,180,760","$2,569,263"
JJ Redick,"$2,139,720","$2,520,912"
Hakim Warrick,"$2,119,102","$2,496,621"
Brook Lopez,"$2,098,560","$2,472,419"
Jarron Collins,"$2,074,302","$2,443,839"
Acie Law,"$2,071,680","$2,440,750"
Hilton Armstrong,"$2,032,800","$2,394,944"
Nate Robinson,"$2,020,179","$2,380,074"
Jarrett Jack,"$2,002,623","$2,359,391"
Walter Herrmann,"$2,000,000","$2,356,300"
Eddie Jones,"$2,000,000","$2,356,300"
Brevin Knight,"$2,000,000","$2,356,300"
Jerryd Bayless,"$1,993,560","$2,348,713"
Francisco Garcia,"$1,983,454","$2,336,807"
Grant Hill,"$1,976,400","$2,328,496"
Thaddeus Young,"$1,968,120","$2,318,741"
Luther Head,"$1,962,378","$2,311,976"
Johan Petro,"$1,939,893","$2,285,485"
Thabo Sefolosha,"$1,931,160","$2,275,197"
Jarvis Hayes,"$1,910,000","$2,250,267"
Brent Barry,"$1,910,000","$2,250,267"
Anthony Johnson,"$1,910,000","$2,250,267"
Jason Thompson,"$1,893,840","$2,231,228"
Jason Maxiell,"$1,877,572","$2,212,062"
Julian Wright,"$1,869,600","$2,202,670"
Ronnie Brewer,"$1,834,680","$2,161,529"
Linas Kleiza,"$1,824,493","$2,149,527"
Antoine Wright,"$1,800,000","$2,120,670"
Brandon Rush,"$1,799,160","$2,119,681"
David Lee,"$1,788,033","$2,106,571"
Al Thornton,"$1,776,240","$2,092,678"
Chuck Hayes,"$1,768,000","$2,082,970"
Cedric Simmons,"$1,742,760","$2,053,233"
Adrian Griffin,"$1,711,000","$2,015,815"
Anthony Randolph,"$1,709,280","$2,013,789"
Francisco Elson,"$1,700,000","$2,002,855"
Goran Dragic,"$1,700,000","$2,002,855"
Rodney Stuckey,"$1,687,320","$1,987,916"
Smush Parker,"$1,660,000","$1,955,729"
Rodney Carney,"$1,655,760","$1,950,734"
Robin Lopez,"$1,623,720","$1,912,986"
Travis Diener,"$1,620,000","$1,908,603"
Nick Young,"$1,602,960","$1,888,528"
Devean George,"$1,600,000","$1,885,040"
Justin Reed,"$1,573,000","$1,853,230"
Shawne Williams,"$1,572,960","$1,853,183"
Hamed Haddadi,"$1,572,221","$1,852,312"
Marreese Speights,"$1,542,600","$1,817,414"
Sean Williams,"$1,522,920","$1,794,228"
Ronald Murray,"$1,500,000","$1,767,225"
Jose Juan Barea,"$1,500,000","$1,767,225"
Patrick O'Bryant,"$1,500,000","$1,767,225"
Roy Hibbert,"$1,465,400","$1,726,461"
Marco Belinelli,"$1,446,720","$1,704,453"
Oleksiy Pecherov,"$1,446,720","$1,704,453"
Quincy Douby,"$1,427,040","$1,681,267"
JaVale McGee,"$1,392,240","$1,640,268"
Javaris Crittenton,"$1,381,560","$1,627,685"
Renaldo Balkman,"$1,369,920","$1,613,971"
JJ Hickson,"$1,329,480","$1,566,327"
Jason Smith,"$1,326,360","$1,562,651"
Calvin Booth,"$1,319,651","$1,554,747"
Rajon Rondo,"$1,315,080","$1,549,362"
Malik Allen,"$1,300,000","$1,531,595"
Alexis Ajinca,"$1,276,320","$1,503,697"
Daequan Cook,"$1,273,200","$1,500,021"
Marcus Williams,"$1,262,520","$1,487,438"
Lorenzen Wright,"$1,262,275","$1,487,149"
Brian Skinner,"$1,262,275","$1,487,149"
Jason Williams,"$1,262,275","$1,487,149"
Kevin Ollie,"$1,262,275","$1,487,149"
Theo Ratliff,"$1,262,275","$1,487,149"
Sam Cassell,"$1,262,275","$1,487,149"
Jacque Vaughn,"$1,262,275","$1,487,149"
Roko Ukic,"$1,250,000","$1,472,688"
Ryan Anderson,"$1,225,200","$1,443,469"
Jared Dudley,"$1,222,320","$1,440,076"
Josh Boone,"$1,212,120","$1,428,059"
Ronnie Price,"$1,188,000","$1,399,642"
Courtney Lee,"$1,176,240","$1,385,787"
Wilson Chandler,"$1,173,480","$1,382,536"
Kyle Lowry,"$1,163,520","$1,370,801"
Anthony Carter,"$1,147,533","$1,351,966"
Lindsey Hunter,"$1,143,473","$1,347,183"
Jamaal Magloire,"$1,141,838","$1,345,257"
Ryan Bowen,"$1,141,838","$1,345,257"
Sean Marks,"$1,141,838","$1,345,257"
Michael Ruffin,"$1,141,838","$1,345,257"
Kosta Koufos,"$1,129,320","$1,330,508"
Rudy Fernandez,"$1,084,080","$1,277,209"
Morris Almond,"$1,081,440","$1,274,099"
Jordan Farmar,"$1,080,000","$1,272,402"
Ime Udoka,"$1,080,000","$1,272,402"
Sergio Rodriguez,"$1,048,800","$1,235,644"
Aaron Brooks,"$1,045,560","$1,231,827"
Maurice Ager,"$1,042,440","$1,228,151"
Nicolas Batum,"$1,040,640","$1,226,030"
Mardy Collins,"$1,034,760","$1,219,103"
Arron Afflalo,"$1,015,440","$1,196,341"
Ian Mahinmi,"$1,009,200","$1,188,989"
George Hill,"$1,006,200","$1,185,455"
Alando Tucker,"$1,001,880","$1,180,365"
Chris Andersen,"$998,398","$1,176,263"
Mike Wilks,"$998,398","$1,176,263"
Devin Brown,"$998,398","$1,176,263"
Melvin Ely,"$998,398","$1,176,263"
Juan Dixon,"$998,398","$1,176,263"
Darrell Arthur,"$977,160","$1,151,241"
Ryan Hollins,"$972,581","$1,145,846"
Chris Quinn,"$972,581","$1,145,846"
Donte Greene,"$971,160","$1,144,172"
DJ White,"$964,080","$1,135,831"
JR Giddens,"$957,120","$1,127,631"
Keith McLeod,"$926,678","$1,091,766"
Dahntay Jones,"$926,678","$1,091,766"
Kareem Rush,"$926,678","$1,091,766"
Matt Barnes,"$926,678","$1,091,766"
Yakhouba Diawara,"$875,000","$1,030,881"
Gerald Green,"$854,957","$1,007,268"
Josh Powell,"$854,957","$1,007,268"
Quinton Ross,"$854,957","$1,007,268"
Royal Ivey,"$854,957","$1,007,268"
Brandon Bass,"$826,269","$973,469"
James Singleton,"$826,269","$973,469"
Von Wafer,"$826,269","$973,469"
Stephen Graham,"$826,269","$973,469"
Shavlik Randolph,"$826,269","$973,469"
Jake Voskuhl,"$826,153","$973,332"
Joey Dorsey,"$816,500","$961,959"
Kyrylo Fesenko,"$810,000","$954,301"
Kyle Weaver,"$806,452","$950,121"
Randolph Morris,"$797,581","$939,670"
Solomon Jones,"$797,581","$939,670"
Leon Powe,"$797,581","$939,670"
Anthony Roberson,"$797,581","$939,670"
Tarence Kinsey,"$797,581","$939,670"
Steve Novak,"$797,581","$939,670"
Cheikh Samb,"$797,581","$939,670"
Shannon Brown,"$797,581","$939,670"
Juaquin Hawkins,"$797,581","$939,670"
Paul Millsap,"$797,581","$939,670"
Dikembe Mutombo,"$794,491","$936,029"
Jeremy Richardson,"$769,431","$906,505"
Luc Mbah a Moute,"$757,000","$891,859"
Ramon Sessions,"$722,517","$851,233"
Mario West,"$711,517","$838,274"
Thomas Gardner,"$711,517","$838,274"
Gabe Pruitt,"$711,517","$838,274"
Glen Davis,"$711,517","$838,274"
Aaron Gray,"$711,517","$838,274"
Will Bynum,"$711,517","$838,274"
CJ Watson,"$711,517","$838,274"
Josh McRoberts,"$711,517","$838,274"
Alex Acker,"$711,517","$838,274"
Jamario Moon,"$711,517","$838,274"
Joel Anthony,"$711,517","$838,274"
Marcin Gortat,"$711,517","$838,274"
Willie Solomon,"$711,517","$838,274"
Dominic McGuire,"$711,517","$838,274"
Mario Chalmers,"$700,000","$824,705"
Fred Jones,"$622,531","$733,435"
Austin Croshere,"$601,436","$708,581"
DeAndre Jordan,"$550,000","$647,982"
Henry Walker,"$542,114","$638,691"
Mike Taylor,"$500,000","$589,075"
Darnell Jackson,"$450,000","$530,167"
Chris Douglas-Roberts,"$442,411","$521,226"
