Player,Salary,Adjusted
Kevin Garnett,"$21,000,000","$26,681,798"
Shaquille O'Neal,"$20,000,000","$25,411,237"
Michael Finley,"$19,030,999","$24,180,061"
Chris Webber,"$18,261,024","$23,201,759"
Jason Kidd,"$18,084,000","$22,976,840"
Jermaine O'Neal,"$18,084,000","$22,976,840"
Kobe Bryant,"$17,718,750","$22,512,767"
Tim Duncan,"$17,429,672","$22,145,476"
Allen Iverson,"$17,184,375","$21,833,811"
Stephon Marbury,"$17,184,375","$21,833,811"
Tracy McGrady,"$16,901,500","$21,474,401"
Grant Hill,"$16,901,500","$21,474,401"
Brian Grant,"$16,786,950","$21,328,858"
Jalen Rose,"$16,141,500","$20,508,773"
Ben Wallace,"$16,000,000","$20,328,989"
Eddie Jones,"$15,395,472","$19,560,899"
Paul Pierce,"$15,101,625","$19,187,548"
Vince Carter,"$15,101,625","$19,187,548"
Dirk Nowitzki,"$15,101,625","$19,187,548"
Antawn Jamison,"$15,101,625","$19,187,548"
Baron Davis,"$15,070,000","$19,147,367"
Steve Francis,"$15,070,000","$19,147,367"
Shawn Marion,"$15,070,000","$19,147,367"
Ray Allen,"$14,611,570","$18,564,903"
Elton Brand,"$14,248,000","$18,102,965"
Larry Hughes,"$13,363,012","$16,978,533"
Michael Redd,"$13,260,000","$16,847,650"
Joe Johnson,"$12,744,189","$16,192,280"
Mike Bibby,"$12,500,000","$15,882,023"
Yao Ming,"$12,455,000","$15,824,847"
Amare Stoudemire,"$12,455,000","$15,824,847"
Pau Gasol,"$12,364,000","$15,709,226"
Andrei Kirilenko,"$12,364,000","$15,709,226"
Lamar Odom,"$12,348,596","$15,689,655"
Kenyon Martin,"$12,068,182","$15,333,371"
Zach Randolph,"$12,000,000","$15,246,742"
Wally Szczerbiak,"$11,775,000","$14,960,865"
Theo Ratliff,"$11,666,666","$14,823,220"
Rasheed Wallace,"$11,650,000","$14,802,045"
Raef LaFrentz,"$11,532,037","$14,652,166"
Carlos Boozer,"$11,260,483","$14,307,140"
Richard Jefferson,"$11,200,000","$14,230,292"
Gilbert Arenas,"$11,096,800","$14,099,170"
Derek Anderson,"$11,043,897","$14,031,952"
Predrag Stojakovic,"$10,800,000","$13,722,068"
Steve Nash,"$10,500,000","$13,340,899"
Jason Richardson,"$9,999,999","$12,705,617"
Erick Dampier,"$9,628,000","$12,232,969"
Brad Miller,"$9,625,000","$12,229,157"
Samuel Dalembert,"$9,464,307","$12,024,987"
Tony Parker,"$9,450,000","$12,006,809"
Zydrunas Ilgauskas,"$9,442,697","$11,997,530"
Rashard Lewis,"$9,350,649","$11,880,577"
Jerry Stackhouse,"$9,296,874","$11,812,253"
Richard Hamilton,"$9,187,500","$11,673,287"
Tyson Chandler,"$9,150,000","$11,625,640"
Marcus Camby,"$8,800,000","$11,180,944"
Andre Miller,"$8,733,333","$11,096,239"
Bobby Simmons,"$8,640,000","$10,977,654"
Maurice Taylor,"$8,565,918","$10,883,527"
PJ Brown,"$8,560,000","$10,876,009"
Jamaal Magloire,"$8,433,334","$10,715,072"
Kwame Brown,"$8,287,500","$10,529,781"
Troy Murphy,"$8,285,714","$10,527,512"
Manu Ginobili,"$8,254,375","$10,487,693"
Jason Williams,"$8,250,000","$10,482,135"
Mehmet Okur,"$8,250,000","$10,482,135"
Eddy Curry,"$8,171,103","$10,381,891"
Adonal Foyle,"$8,125,000","$10,323,315"
Cuttino Mobley,"$8,125,000","$10,323,315"
Jason Terry,"$8,100,000","$10,291,551"
Aaron McKie,"$8,070,874","$10,254,543"
Desmond Mason,"$8,037,037","$10,211,552"
Nenê,"$8,000,000","$10,164,494"
Tayshaun Prince,"$7,851,240","$9,975,486"
Kurt Thomas,"$7,821,482","$9,937,676"
Darius Miles,"$7,750,000","$9,846,854"
Calvin Booth,"$7,628,858","$9,692,935"
Al Harrington,"$7,625,000","$9,688,034"
Mike Miller,"$7,623,813","$9,686,525"
Antoine Walker,"$7,606,820","$9,664,935"
Metta World Peace,"$7,526,316","$9,562,650"
Quentin Richardson,"$7,525,500","$9,561,613"
Malik Rose,"$7,525,397","$9,561,482"
Mike Dunleavy,"$7,438,016","$9,450,459"
Caron Butler,"$7,438,000","$9,450,439"
Austin Croshere,"$7,300,000","$9,275,101"
Mark Blount,"$7,288,165","$9,260,064"
Radoslav Nesterovic,"$7,280,000","$9,249,690"
Shandon Anderson,"$7,244,726","$9,204,872"
Jamal Crawford,"$7,200,000","$9,148,045"
Kenny Thomas,"$7,187,500","$9,132,163"
Jerome Williams,"$7,014,400","$8,912,229"
Corey Maggette,"$7,000,000","$8,893,932"
Speedy Claxton,"$6,854,546","$8,709,124"
Sam Cassell,"$6,850,000","$8,703,348"
Ruben Patterson,"$6,807,000","$8,648,714"
Joe Smith,"$6,807,000","$8,648,714"
Alonzo Mourning,"$6,725,433","$8,545,077"
Drew Gooden,"$6,645,402","$8,443,394"
Danny Fortson,"$6,596,990","$8,381,883"
Corliss Williamson,"$6,500,000","$8,258,652"
Matt Harpring,"$6,500,000","$8,258,652"
Juwan Howard,"$6,392,100","$8,121,558"
James Posey,"$6,392,100","$8,121,558"
Chauncey Billups,"$6,364,400","$8,086,363"
Ricky Davis,"$6,364,400","$8,086,363"
Chris Wilcox,"$6,250,000","$7,941,011"
Stephen Jackson,"$6,120,000","$7,775,838"
