Player,Salary,Adjusted
Kobe Bryant,"$25,000,000","$27,007,119"
LeBron James,"$22,970,500","$24,814,681"
Carmelo Anthony,"$22,875,000","$24,711,514"
Dwight Howard,"$22,359,364","$24,154,480"
Joe Johnson,"$22,309,344","$24,100,444"
Chris Bosh,"$22,192,730","$23,974,468"
Kevin Durant,"$21,971,850","$23,735,855"
Chris Paul,"$21,468,695","$23,192,304"
Derrick Rose,"$20,093,064","$21,706,231"
Dwyane Wade,"$20,000,000","$21,605,695"
Brook Lopez,"$19,689,000","$21,269,727"
Kevin Love,"$19,689,000","$21,269,727"
DeAndre Jordan,"$19,689,000","$21,269,727"
Marc Gasol,"$19,689,000","$21,269,727"
LaMarcus Aldridge,"$19,689,000","$21,269,727"
Blake Griffin,"$18,862,876","$20,377,277"
Paul Millsap,"$18,671,659","$20,170,709"
David Lee,"$17,120,776","$18,495,313"
Paul George,"$16,900,000","$18,256,812"
Russell Westbrook,"$16,744,218","$18,088,523"
Jimmy Butler,"$16,407,500","$17,724,772"
Kyrie Irving,"$16,407,500","$17,724,772"
Wesley Matthews,"$16,407,500","$17,724,772"
Greg Monroe,"$16,407,500","$17,724,772"
Enes Kanter,"$16,407,500","$17,724,772"
Kawhi Leonard,"$16,407,500","$17,724,772"
Tobias Harris,"$16,000,000","$17,284,556"
James Harden,"$15,719,062","$16,981,063"
Roy Hibbert,"$15,514,031","$16,759,571"
Eric Gordon,"$15,514,031","$16,759,571"
Klay Thompson,"$15,501,000","$16,745,494"
Gordon Hayward,"$15,409,570","$16,646,723"
Chandler Parsons,"$15,361,500","$16,594,794"
Goran Dragic,"$14,783,000","$15,969,849"
DeMarcus Cousins,"$14,728,844","$15,911,346"
John Wall,"$14,728,844","$15,911,346"
Khris Middleton,"$14,700,000","$15,880,186"
Draymond Green,"$14,260,870","$15,405,800"
Tristan Thompson,"$14,260,000","$15,404,861"
Danilo Gallinari,"$14,000,000","$15,123,986"
Reggie Jackson,"$13,913,044","$15,030,049"
DeMarre Carroll,"$13,600,000","$14,691,873"
Al Jefferson,"$13,500,000","$14,583,844"
Eric Bledsoe,"$13,500,000","$14,583,844"
Brandon Knight,"$13,500,000","$14,583,844"
Tony Parker,"$13,437,500","$14,516,326"
Joakim Noah,"$13,400,000","$14,475,816"
JaVale McGee,"$13,270,964","$14,336,420"
Tyson Chandler,"$13,000,000","$14,043,702"
Nenê,"$13,000,000","$14,043,702"
Ricky Rubio,"$12,700,000","$13,719,616"
Robin Lopez,"$12,650,000","$13,665,602"
Ty Lawson,"$12,444,552","$13,443,660"
Rudy Gay,"$12,403,101","$13,398,881"
Serge Ibaka,"$12,250,000","$13,233,488"
Nikola Pekovic,"$12,100,000","$13,071,445"
Al Horford,"$12,000,000","$12,963,417"
Amir Johnson,"$12,000,000","$12,963,417"
Kemba Walker,"$12,000,000","$12,963,417"
Andrew Bogut,"$12,000,000","$12,963,417"
Kyle Lowry,"$12,000,000","$12,963,417"
Derrick Favors,"$12,000,000","$12,963,417"
Nicolas Batum,"$11,860,750","$12,812,987"
Andre Iguodala,"$11,710,456","$12,650,627"
Stephen Curry,"$11,370,786","$12,283,687"
Nikola Vucevic,"$11,250,000","$12,153,203"
Thaddeus Young,"$11,235,955","$12,138,031"
Kenneth Faried,"$11,235,955","$12,138,031"
Marcin Gortat,"$11,217,391","$12,117,976"
Jrue Holiday,"$11,000,000","$11,883,132"
Deron Williams,"$10,853,761","$11,725,152"
Tyreke Evans,"$10,734,586","$11,596,409"
Wilson Chandler,"$10,449,438","$11,288,368"
Monta Ellis,"$10,300,000","$11,126,933"
Anderson Varejao,"$10,158,574","$10,974,152"
Luol Deng,"$10,151,612","$10,966,631"
Gerald Wallace,"$10,105,855","$10,917,201"
Zach Randolph,"$10,000,000","$10,802,847"
Danny Green,"$10,000,000","$10,802,847"
Mike Conley,"$9,680,000","$10,457,156"
Rajon Rondo,"$9,500,000","$10,262,705"
DeMar DeRozan,"$9,500,000","$10,262,705"
Alec Burks,"$9,213,484","$9,953,186"
Omer Asik,"$9,213,483","$9,953,185"
Jeff Green,"$9,200,000","$9,938,620"
Lance Stephenson,"$9,000,000","$9,722,563"
Iman Shumpert,"$8,988,765","$9,710,426"
Tiago Splitter,"$8,500,000","$9,182,420"
Taj Gibson,"$8,500,000","$9,182,420"
Kevin Garnett,"$8,500,000","$9,182,420"
Ryan Anderson,"$8,500,000","$9,182,420"
Brandon Jennings,"$8,344,497","$9,014,433"
Dirk Nowitzki,"$8,333,333","$9,002,372"
Corey Brewer,"$8,229,375","$8,890,068"
Trevor Ariza,"$8,200,000","$8,858,335"
Channing Frye,"$8,193,029","$8,850,804"
Al-Farouq Aminu,"$8,042,895","$8,688,617"
Jeff Teague,"$8,000,000","$8,642,278"
George Hill,"$8,000,000","$8,642,278"
OJ Mayo,"$8,000,000","$8,642,278"
Arron Afflalo,"$8,000,000","$8,642,278"
Markieff Morris,"$8,000,000","$8,642,278"
Ersan Ilyasova,"$7,900,000","$8,534,249"
Avery Bradley,"$7,730,337","$8,350,965"
Kosta Koufos,"$7,700,000","$8,318,192"
Boris Diaw,"$7,500,000","$8,102,135"
Pau Gasol,"$7,448,760","$8,046,782"
Jose Calderon,"$7,402,812","$7,997,145"
Kevin Martin,"$7,402,474","$7,996,779"
JJ Redick,"$7,085,000","$7,653,817"
Anthony Davis,"$7,070,730","$7,638,402"
Marvin Williams,"$7,000,000","$7,561,993"
Rodney Stuckey,"$7,000,000","$7,561,993"
Louis Williams,"$7,000,000","$7,561,993"
Cory Joseph,"$7,000,000","$7,561,993"
Ed Davis,"$6,980,802","$7,541,254"
Isaiah Thomas,"$6,912,869","$7,467,867"
Josh Smith,"$6,830,916","$7,379,333"
Jae Crowder,"$6,796,117","$7,341,741"
Jason Thompson,"$6,752,729","$7,294,869"
Carl Landry,"$6,750,000","$7,291,922"
Greivis Vasquez,"$6,600,000","$7,129,879"
Aron Baynes,"$6,500,000","$7,021,851"
Patrick Beverley,"$6,486,486","$7,007,252"
Michael Kidd-Gilchrist,"$6,331,403","$6,839,718"
Jarrett Jack,"$6,300,000","$6,805,794"
Jodie Meeks,"$6,270,000","$6,773,385"
Patrick Patterson,"$6,268,675","$6,771,954"
Marco Belinelli,"$6,060,606","$6,547,180"
Gerald Henderson,"$6,000,000","$6,481,708"
Andrew Wiggins,"$5,758,680","$6,221,014"
Kyle Korver,"$5,746,479","$6,207,833"
Martell Webster,"$5,713,500","$6,172,207"
Karl-Anthony Towns,"$5,703,600","$6,161,512"
Bradley Beal,"$5,694,673","$6,151,868"
Courtney Lee,"$5,675,000","$6,130,616"
Jamal Crawford,"$5,675,000","$6,130,616"
JJ Hickson,"$5,583,413","$6,031,675"
Spencer Hawes,"$5,543,725","$5,988,801"
Nikola Mirotic,"$5,543,725","$5,988,801"
Shaun Livingston,"$5,543,725","$5,988,801"
Josh McRoberts,"$5,543,725","$5,988,801"
Mirza Teletovic,"$5,500,000","$5,941,566"
PJ Tucker,"$5,500,000","$5,941,566"
Brandan Wright,"$5,464,000","$5,902,676"
Chase Budinger,"$5,258,082","$5,680,225"
Tim Duncan,"$5,250,000","$5,671,495"
Nick Young,"$5,219,169","$5,638,188"
Zaza Pachulia,"$5,200,000","$5,617,480"
Victor Oladipo,"$5,192,520","$5,609,400"
Jabari Parker,"$5,152,440","$5,566,102"
Dion Waiters,"$5,138,430","$5,550,967"
D'Angelo Russell,"$5,103,120","$5,512,822"
Darren Collison,"$5,013,559","$5,416,071"
Jonas Jerebko,"$5,000,000","$5,401,423"
JR Smith,"$5,000,000","$5,401,423"
Marcus Morris,"$5,000,000","$5,401,423"
Chris Andersen,"$5,000,000","$5,401,423"
Tony Allen,"$5,000,000","$5,401,423"
Larry Sanders,"$5,000,000","$5,401,423"
CJ Watson,"$5,000,000","$5,401,423"
Chris Kaman,"$5,000,000","$5,401,423"
Timofey Mozgov,"$4,950,000","$5,347,409"
Mike Dunleavy,"$4,837,500","$5,225,877"
Trevor Booker,"$4,775,000","$5,158,359"
Otto Porter,"$4,662,960","$5,037,324"
Jonas Valanciunas,"$4,660,482","$5,034,647"
Joel Embiid,"$4,626,960","$4,998,434"
Anthony Bennett,"$4,597,276","$4,966,366"
Jahlil Okafor,"$4,582,680","$4,950,599"
Raymond Felton,"$4,540,000","$4,904,492"
Alexis Ajinca,"$4,539,607","$4,904,068"
Kyle Singler,"$4,500,000","$4,861,281"
Kris Humphries,"$4,440,000","$4,796,463"
Derrick Williams,"$4,400,000","$4,753,253"
CJ Miles,"$4,394,225","$4,747,014"
Mike Miller,"$4,354,127","$4,703,696"
Jameer Nelson,"$4,345,000","$4,693,837"
Mario Chalmers,"$4,300,000","$4,645,224"
Jason Smith,"$4,300,000","$4,645,224"
Jose Juan Barea,"$4,290,000","$4,634,421"
Jared Dudley,"$4,250,000","$4,591,210"
Damian Lillard,"$4,236,286","$4,576,395"
Cody Zeller,"$4,204,200","$4,541,733"
Aaron Gordon,"$4,171,680","$4,506,602"
Kristaps Porzingis,"$4,131,720","$4,463,434"
Vince Carter,"$4,088,019","$4,416,224"
Devin Harris,"$4,053,446","$4,378,876"
Thabo Sefolosha,"$4,000,000","$4,321,139"
Ian Mahinmi,"$4,000,000","$4,321,139"
Jordan Hill,"$4,000,000","$4,321,139"
Alan Anderson,"$4,000,000","$4,321,139"
Nemanja Bjelica,"$3,950,000","$4,267,124"
Harrison Barnes,"$3,873,398","$4,184,372"
Marreese Speights,"$3,815,500","$4,121,826"
Alex Len,"$3,807,120","$4,112,773"
Dante Exum,"$3,777,720","$4,081,013"
Steve Novak,"$3,758,017","$4,059,728"
Kyle O'Quinn,"$3,750,000","$4,051,067"
Nick Collison,"$3,750,000","$4,051,067"
Mario Hezonja,"$3,741,480","$4,041,863"
Terrence Ross,"$3,553,917","$3,839,242"
Lavoy Allen,"$3,550,000","$3,835,010"
Matt Barnes,"$3,542,500","$3,826,908"
Will Barton,"$3,533,333","$3,817,005"
Nerlens Noel,"$3,457,800","$3,735,408"
Marcus Smart,"$3,431,040","$3,706,500"
Evan Turner,"$3,425,510","$3,700,526"
Bojan Bogdanovic,"$3,425,510","$3,700,526"
Willie Cauley-Stein,"$3,398,280","$3,671,110"
Quincy Pondexter,"$3,382,023","$3,653,547"
Paul Pierce,"$3,376,000","$3,647,041"
Anthony Morrow,"$3,344,000","$3,612,472"
Mike Scott,"$3,333,333","$3,600,948"
Drew Gooden,"$3,300,000","$3,564,939"
Andre Drummond,"$3,272,090","$3,534,789"
Norris Cole,"$3,203,780","$3,460,994"
Patrick Mills,"$3,200,000","$3,456,911"
KJ McDaniels,"$3,189,794","$3,445,885"
Ben McLemore,"$3,156,600","$3,410,026"
Randy Foye,"$3,135,000","$3,386,692"
Julius Randle,"$3,132,240","$3,383,711"
Austin Rivers,"$3,110,796","$3,360,545"
Emmanuel Mudiay,"$3,102,240","$3,351,302"
Meyers Leonard,"$3,075,879","$3,322,825"
Jeremy Lamb,"$3,034,356","$3,277,968"
DJ Augustin,"$3,000,000","$3,240,854"
Anthony Tolliver,"$3,000,000","$3,240,854"
Brandon Bass,"$3,000,000","$3,240,854"
Jerryd Bayless,"$3,000,000","$3,240,854"
Toney Douglas,"$2,971,568","$3,210,138"
John Henson,"$2,943,220","$3,179,515"
Luis Scola,"$2,900,000","$3,132,825"
Moe Harkless,"$2,894,058","$3,126,406"
Kentavious Caldwell-Pope,"$2,891,760","$3,123,924"
Kirk Hinrich,"$2,870,000","$3,100,417"
Nik Stauskas,"$2,869,440","$3,099,812"
Udonis Haslem,"$2,854,940","$3,084,148"
Brian Roberts,"$2,854,940","$3,084,148"
Dante Cunningham,"$2,850,000","$3,078,811"
Stanley Johnson,"$2,841,960","$3,070,126"
Omri Casspi,"$2,836,186","$3,063,888"
Darrell Arthur,"$2,814,000","$3,039,921"
Kevin Seraphin,"$2,814,000","$3,039,921"
Sonny Weems,"$2,814,000","$3,039,921"
Manu Ginobili,"$2,814,000","$3,039,921"
Bismack Biyombo,"$2,814,000","$3,039,921"
Tibor Pleiss,"$2,700,000","$2,916,768"
Furkan Aldemir,"$2,683,841","$2,899,312"
Trey Burke,"$2,658,240","$2,871,656"
Noah Vonleh,"$2,637,720","$2,849,488"
Tyler Zeller,"$2,616,975","$2,827,078"
Frank Kaminsky,"$2,612,520","$2,822,265"
CJ McCollum,"$2,525,160","$2,727,891"
Elfrid Payton,"$2,505,720","$2,706,891"
Joel Anthony,"$2,500,000","$2,700,711"
Leandro Barbosa,"$2,500,000","$2,700,711"
James Johnson,"$2,500,000","$2,700,711"
Terrence Jones,"$2,489,529","$2,689,400"
Justise Winslow,"$2,481,720","$2,680,964"
Shelvin Mack,"$2,433,333","$2,628,692"
Michael Carter-Williams,"$2,399,040","$2,591,646"
Andrew Nicholson,"$2,380,593","$2,571,718"
Doug McDermott,"$2,380,440","$2,571,553"
Tony Wroten,"$2,346,760","$2,535,168"
Jordan Farmar,"$2,291,455","$2,475,423"
