Player,Salary,Adjusted
Tracy McGrady,"$23,239,562","$27,776,002"
Kobe Bryant,"$23,034,375","$27,530,762"
Jermaine O'Neal,"$23,016,000","$27,508,800"
Tim Duncan,"$22,183,220","$26,513,459"
Shaquille O'Neal,"$20,000,000","$23,904,067"
Dirk Nowitzki,"$19,795,714","$23,659,904"
Paul Pierce,"$19,795,712","$23,659,901"
Rashard Lewis,"$18,876,000","$22,560,658"
Ray Allen,"$18,776,860","$22,442,166"
Michael Redd,"$17,040,000","$20,366,265"
Pau Gasol,"$16,452,000","$19,663,485"
Andrei Kirilenko,"$16,452,000","$19,663,485"
Kevin Garnett,"$16,400,000","$19,601,335"
Yao Ming,"$16,378,325","$19,575,429"
Amare Stoudemire,"$16,378,325","$19,575,429"
Vince Carter,"$16,300,000","$19,481,814"
Gilbert Arenas,"$16,192,080","$19,352,828"
Zach Randolph,"$16,000,000","$19,123,253"
LeBron James,"$15,779,912","$18,860,203"
Carmelo Anthony,"$15,779,912","$18,860,203"
Dwyane Wade,"$15,779,912","$18,860,203"
Chris Bosh,"$15,779,912","$18,860,203"
Kenyon Martin,"$15,363,636","$18,362,669"
Dwight Howard,"$15,202,590","$18,170,186"
Joe Johnson,"$14,976,754","$17,900,266"
Elton Brand,"$14,858,471","$17,758,894"
Richard Jefferson,"$14,200,000","$16,971,887"
Larry Hughes,"$13,655,268","$16,320,822"
Chris Paul,"$13,520,500","$16,159,747"
Carlos Boozer,"$13,520,500","$16,159,747"
Predrag Stojakovic,"$13,392,000","$16,006,163"
Jason Richardson,"$13,333,333","$15,936,044"
Steve Nash,"$13,125,000","$15,687,044"
Tony Parker,"$12,600,000","$15,059,562"
Andrew Bynum,"$12,526,998","$14,972,310"
Deron Williams,"$12,323,900","$14,729,566"
Brad Miller,"$12,250,000","$14,641,241"
Andre Iguodala,"$12,200,000","$14,581,481"
Baron Davis,"$12,150,000","$14,521,720"
Erick Dampier,"$12,115,500","$14,480,486"
Chauncey Billups,"$12,100,000","$14,461,960"
Samuel Dalembert,"$12,025,694","$14,373,149"
Al Jefferson,"$12,000,000","$14,342,440"
Tyson Chandler,"$11,850,000","$14,163,159"
Antawn Jamison,"$11,641,095","$13,913,475"
Richard Hamilton,"$11,625,000","$13,894,239"
Zydrunas Ilgauskas,"$11,541,074","$13,793,930"
Troy Murphy,"$11,047,619","$13,204,151"
Monta Ellis,"$11,000,000","$13,147,237"
Josh Howard,"$10,890,000","$13,015,764"
Josh Smith,"$10,800,000","$12,908,196"
Manu Ginobili,"$10,728,130","$12,822,297"
Bobby Simmons,"$10,560,000","$12,621,347"
Emeka Okafor,"$10,538,937","$12,596,172"
Nenê,"$10,520,000","$12,573,539"
Eddy Curry,"$10,500,423","$12,550,140"
Chris Kaman,"$10,400,000","$12,430,115"
Luol Deng,"$10,370,425","$12,394,766"
Tayshaun Prince,"$10,324,380","$12,339,733"
Kevin Martin,"$10,180,170","$12,167,373"
Al Harrington,"$10,026,875","$11,984,154"
Ben Gordon,"$10,000,000","$11,952,033"
Andrew Bogut,"$10,000,000","$11,952,033"
Danny Granger,"$9,930,500","$11,868,967"
Jason Terry,"$9,862,500","$11,787,693"
Mike Dunleavy,"$9,780,992","$11,690,274"
Caron Butler,"$9,780,970","$11,690,248"
Mike Miller,"$9,750,000","$11,653,232"
Kirk Hinrich,"$9,500,000","$11,354,431"
Cuttino Mobley,"$9,500,000","$11,354,431"
Earl Watson,"$9,400,000","$11,234,911"
Jamal Crawford,"$9,360,000","$11,187,103"
Quentin Richardson,"$9,352,400","$11,178,019"
Gerald Wallace,"$9,075,000","$10,846,470"
David West,"$9,075,000","$10,846,470"
Boris Diaw,"$9,000,000","$10,756,830"
Andris Biedrins,"$9,000,000","$10,756,830"
Darius Miles,"$9,000,000","$10,756,830"
Hidayet Turkoglu,"$9,000,000","$10,756,830"
Mehmet Okur,"$9,000,000","$10,756,830"
Corey Maggette,"$8,937,931","$10,682,645"
Maurice Williams,"$8,860,000","$10,589,501"
Kenny Thomas,"$8,775,000","$10,487,909"
TJ Ford,"$8,500,000","$10,159,228"
Devin Harris,"$8,400,000","$10,039,708"
Jose Calderon,"$8,219,009","$9,823,387"
Jason Kidd,"$8,000,000","$9,561,626"
Mark Blount,"$7,962,500","$9,516,806"
Tim Thomas,"$7,773,055","$9,290,381"
Paul Millsap,"$7,692,932","$9,194,618"
Stephen Jackson,"$7,650,000","$9,143,305"
Marcus Camby,"$7,650,000","$9,143,305"
Marvin Williams,"$7,500,000","$8,964,025"
Antonio McDyess,"$7,500,000","$8,964,025"
Lamar Odom,"$7,500,000","$8,964,025"
Darko Milicic,"$7,500,000","$8,964,025"
Andres Nocioni,"$7,500,000","$8,964,025"
Etan Thomas,"$7,350,000","$8,784,744"
Marko Jaric,"$7,100,000","$8,485,943"
Udonis Haslem,"$7,100,000","$8,485,943"
David Lee,"$7,000,000","$8,366,423"
Shane Battier,"$6,864,200","$8,204,114"
Joel Przybilla,"$6,857,725","$8,196,376"
Brian Cardinal,"$6,750,000","$8,067,622"
Dan Gadzuric,"$6,749,260","$8,066,738"
Andre Miller,"$6,730,800","$8,044,674"
Shawn Marion,"$6,635,068","$7,930,255"
Jerome James,"$6,600,000","$7,888,342"
Leandro Barbosa,"$6,600,000","$7,888,342"
Shareef Abdur-Rahim,"$6,600,000","$7,888,342"
Andrea Bargnani,"$6,527,491","$7,801,679"
Charlie Villanueva,"$6,500,000","$7,768,821"
Luke Ridnour,"$6,500,000","$7,768,821"
Matt Harpring,"$6,500,000","$7,768,821"
Nazr Mohammed,"$6,466,600","$7,728,902"
Vladimir Radmanovic,"$6,466,600","$7,728,902"
Jared Jeffries,"$6,466,600","$7,728,902"
Mike James,"$6,466,600","$7,728,902"
Anderson Varejao,"$6,300,000","$7,529,781"
Tony Battie,"$6,292,000","$7,520,219"
Nick Collison,"$6,250,000","$7,470,021"
Mike Bibby,"$6,217,617","$7,431,316"
Morris Peterson,"$6,212,960","$7,425,750"
Jason Kapono,"$6,212,960","$7,425,750"
Jamaal Tinsley,"$6,190,300","$7,398,666"
Jameer Nelson,"$6,138,888","$7,337,219"
Jeff Foster,"$6,077,500","$7,263,848"
DeSagana Diop,"$6,031,800","$7,209,227"
James Posey,"$6,031,800","$7,209,227"
Chris Duhon,"$6,031,800","$7,209,227"
Beno Udrih,"$6,031,800","$7,209,227"
Brendan Haywood,"$6,000,000","$7,171,220"
Antonio Daniels,"$5,863,580","$7,008,170"
Rasheed Wallace,"$5,854,000","$6,996,720"
Trevor Ariza,"$5,854,000","$6,996,720"
Metta World Peace,"$5,854,000","$6,996,720"
Marcin Gortat,"$5,854,000","$6,996,720"
LaMarcus Aldridge,"$5,844,827","$6,985,756"
Francisco Garcia,"$5,800,000","$6,932,179"
JR Smith,"$5,508,426","$6,583,689"
Raymond Felton,"$5,501,196","$6,575,047"
John Salmons,"$5,456,000","$6,521,029"
Nenad Krstic,"$5,400,000","$6,454,098"
Greg Oden,"$5,361,240","$6,407,772"
Mickael Pietrus,"$5,300,000","$6,334,577"
Adam Morrison,"$5,257,229","$6,283,457"
Raja Bell,"$5,250,000","$6,274,817"
Speedy Claxton,"$5,209,454","$6,226,356"
Derrick Rose,"$5,184,480","$6,196,507"
Kyle Korver,"$5,155,115","$6,161,410"
Rafer Alston,"$5,053,133","$6,039,521"
Derek Fisher,"$5,048,000","$6,033,386"
Jason Maxiell,"$5,000,000","$5,976,016"
Sasha Vujacic,"$5,000,000","$5,976,016"
Blake Griffin,"$4,983,480","$5,956,272"
Louis Williams,"$4,972,500","$5,943,148"
Reggie Evans,"$4,960,000","$5,928,208"
Steve Blake,"$4,930,000","$5,892,352"
Luke Walton,"$4,840,000","$5,784,784"
Kevin Durant,"$4,796,880","$5,733,247"
Zaza Pachulia,"$4,750,000","$5,677,215"
Tyrus Thomas,"$4,743,598","$5,669,564"
Matt Carroll,"$4,700,000","$5,617,455"
Michael Beasley,"$4,638,600","$5,544,070"
Marcus Banks,"$4,553,793","$5,442,708"
Darius Songaila,"$4,526,000","$5,409,490"
Drew Gooden,"$4,500,000","$5,378,415"
Jarrett Jack,"$4,500,000","$5,378,415"
Hasheem Thabeet,"$4,458,840","$5,329,220"
Trenton Hassell,"$4,350,000","$5,199,134"
Martell Webster,"$4,344,000","$5,191,963"
James Jones,"$4,320,000","$5,163,278"
Al Horford,"$4,307,640","$5,148,505"
Delonte West,"$4,254,250","$5,084,693"
Kendrick Perkins,"$4,250,000","$5,079,614"
OJ Mayo,"$4,165,560","$4,978,691"
Ronny Turiaf,"$4,140,000","$4,948,141"
Kwame Brown,"$4,100,000","$4,900,333"
Daniel Gibson,"$4,088,500","$4,886,588"
James Harden,"$4,054,160","$4,845,545"
Nate Robinson,"$4,000,000","$4,780,813"
Travis Outlaw,"$4,000,000","$4,780,813"
Brandon Bass,"$4,000,000","$4,780,813"
Rasual Butler,"$3,945,000","$4,715,077"
Brandon Roy,"$3,910,816","$4,674,220"
Fabricio Oberto,"$3,900,000","$4,661,293"
DeShawn Stevenson,"$3,886,928","$4,645,669"
Mike Conley,"$3,883,800","$4,641,930"
Ryan Gomes,"$3,867,500","$4,622,449"
Kurt Thomas,"$3,800,000","$4,541,772"
Roger Mason,"$3,780,000","$4,517,868"
Russell Westbrook,"$3,755,640","$4,488,753"
CJ Miles,"$3,700,000","$4,422,252"
Steven Hunter,"$3,696,000","$4,417,471"
Willie Green,"$3,682,000","$4,400,738"
Ramon Sessions,"$3,670,667","$4,387,193"
Amir Johnson,"$3,666,666","$4,382,411"
Chris Andersen,"$3,650,000","$4,362,492"
Tyreke Evans,"$3,610,080","$4,314,779"
Charlie Bell,"$3,596,000","$4,297,951"
Randy Foye,"$3,575,761","$4,273,761"
Keyon Dooling,"$3,564,000","$4,259,704"
Jeff Green,"$3,516,960","$4,203,482"
Brian Cook,"$3,500,000","$4,183,211"
Carlos Delfino,"$3,500,000","$4,183,211"
Brian Scalabrine,"$3,413,793","$4,080,176"
Kevin Love,"$3,401,040","$4,064,934"
Luis Scola,"$3,375,600","$4,034,528"
Damien Wilkins,"$3,300,000","$3,944,171"
Rudy Gay,"$3,280,997","$3,921,458"
Matt Bonner,"$3,240,380","$3,872,913"
Marc Gasol,"$3,240,000","$3,872,458"
Kris Humphries,"$3,200,000","$3,824,650"
Yi Jianlian,"$3,194,400","$3,817,957"
Kelenna Azubuike,"$3,132,000","$3,743,376"
Eduardo Najera,"$3,100,000","$3,705,130"
Danilo Gallinari,"$3,089,040","$3,692,031"
Glen Davis,"$3,000,000","$3,585,610"
Hakim Warrick,"$3,000,000","$3,585,610"
Chris Wilcox,"$3,000,000","$3,585,610"
Grant Hill,"$3,000,000","$3,585,610"
Carl Landry,"$3,000,000","$3,585,610"
Andray Blatche,"$3,000,000","$3,585,610"
Jonny Flynn,"$2,969,280","$3,548,893"
Corey Brewer,"$2,916,120","$3,485,356"
Eddie House,"$2,862,000","$3,420,672"
Mark Madsen,"$2,840,000","$3,394,377"
JJ Redick,"$2,839,408","$3,393,670"
Eric Gordon,"$2,819,880","$3,370,330"
Hilton Armstrong,"$2,801,198","$3,348,001"
Thabo Sefolosha,"$2,759,628","$3,298,316"
Jamario Moon,"$2,750,000","$3,286,809"
Dorell Wright,"$2,750,000","$3,286,809"
Aleksandar Pavlovic,"$2,750,000","$3,286,809"
Ronnie Brewer,"$2,717,161","$3,247,559"
Stephen Curry,"$2,710,560","$3,239,670"
Brandan Wright,"$2,671,440","$3,192,914"
Jerry Stackhouse,"$2,668,598","$3,189,516"
Anthony Parker,"$2,644,230","$3,160,392"
Joe Alexander,"$2,583,360","$3,087,640"
Mikki Moore,"$2,537,952","$3,033,368"
Maurice Evans,"$2,500,000","$2,988,008"
Tony Allen,"$2,500,000","$2,988,008"
Sebastian Telfair,"$2,500,000","$2,988,008"
Dahntay Jones,"$2,500,000","$2,988,008"
Craig Smith,"$2,500,000","$2,988,008"
Michael Finley,"$2,500,000","$2,988,008"
Ricky Davis,"$2,484,000","$2,968,885"
Jordan Hill,"$2,483,280","$2,968,024"
Joakim Noah,"$2,455,680","$2,935,037"
Shawne Williams,"$2,416,067","$2,887,691"
DJ Augustin,"$2,385,480","$2,851,133"
Spencer Hawes,"$2,332,800","$2,788,170"
David Andersen,"$2,300,000","$2,748,967"
DeMar DeRozan,"$2,282,640","$2,728,219"
Brook Lopez,"$2,225,880","$2,660,379"
Acie Law,"$2,216,160","$2,648,761"
Ryan Hollins,"$2,183,333","$2,609,526"
Brandon Jennings,"$2,168,520","$2,591,822"
Anthony Johnson,"$2,160,000","$2,581,639"
Jerryd Bayless,"$2,143,080","$2,561,416"
Renaldo Balkman,"$2,112,417","$2,524,767"
Chuck Hayes,"$2,111,750","$2,523,970"
Antoine Wright,"$2,110,550","$2,522,536"
Thaddeus Young,"$2,105,400","$2,516,381"
Ersan Ilyasova,"$2,100,000","$2,509,927"
Rajon Rondo,"$2,094,922","$2,503,857"
Chucky Atkins,"$2,066,455","$2,469,833"
Jarvis Hayes,"$2,062,800","$2,465,465"
Brent Barry,"$2,062,800","$2,465,465"
Terrence Williams,"$2,060,040","$2,462,166"
Josh Boone,"$2,056,968","$2,458,495"
Jason Thompson,"$2,035,920","$2,433,338"
Kyle Lowry,"$2,034,997","$2,432,235"
Julian Wright,"$2,000,040","$2,390,454"
Jannero Pargo,"$2,000,000","$2,390,406"
Shannon Brown,"$2,000,000","$2,390,406"
Bruce Bowen,"$2,000,000","$2,390,406"
Channing Frye,"$2,000,000","$2,390,406"
Marquis Daniels,"$1,990,000","$2,378,454"
Ronald Murray,"$1,990,000","$2,378,454"
Radoslav Nesterovic,"$1,990,000","$2,378,454"
Gerald Henderson,"$1,957,080","$2,339,108"
Jordan Farmar,"$1,947,240","$2,327,347"
Brandon Rush,"$1,934,160","$2,311,714"
Al Thornton,"$1,900,200","$2,271,125"
Sergio Rodriguez,"$1,892,035","$2,261,366"
Mardy Collins,"$1,867,742","$2,232,331"
Tyler Hansbrough,"$1,859,160","$2,222,074"
Anthony Randolph,"$1,837,560","$2,196,257"
Goran Dragic,"$1,836,000","$2,194,393"
Rodney Stuckey,"$1,805,040","$2,157,389"
Earl Clark,"$1,766,280","$2,111,063"
Robin Lopez,"$1,745,520","$2,086,251"
Travis Diener,"$1,740,000","$2,079,653"
Nick Young,"$1,714,800","$2,049,534"
Francisco Elson,"$1,700,000","$2,031,845"
Austin Daye,"$1,677,840","$2,005,360"
Marreese Speights,"$1,658,280","$1,981,981"
Jose Juan Barea,"$1,657,500","$1,981,049"
Sean Williams,"$1,629,120","$1,947,129"
Hamed Haddadi,"$1,627,779","$1,945,526"
Solomon Jones,"$1,620,000","$1,936,229"
Patrick O'Bryant,"$1,620,000","$1,936,229"
Devean George,"$1,600,000","$1,912,325"
Matt Barnes,"$1,600,000","$1,912,325"
James Johnson,"$1,594,080","$1,905,249"
Roy Hibbert,"$1,575,360","$1,882,875"
Oleksiy Pecherov,"$1,547,640","$1,849,744"
Marco Belinelli,"$1,547,640","$1,849,744"
Jrue Holiday,"$1,514,280","$1,809,872"
JaVale McGee,"$1,496,640","$1,788,789"
Javaris Crittenton,"$1,477,920","$1,766,414"
Ty Lawson,"$1,438,690","$1,719,527"
JJ Hickson,"$1,429,200","$1,708,184"
Jason Smith,"$1,418,880","$1,695,850"
Jeff Teague,"$1,373,880","$1,642,066"
Alexis Ajinca,"$1,372,080","$1,639,914"
Daequan Cook,"$1,362,120","$1,628,010"
Eric Maynor,"$1,318,920","$1,576,377"
Ryan Anderson,"$1,317,120","$1,574,226"
Jared Dudley,"$1,307,640","$1,562,895"
Joe Smith,"$1,306,455","$1,561,479"
Theo Ratliff,"$1,306,455","$1,561,479"
Lindsey Hunter,"$1,306,455","$1,561,479"
Anthony Carter,"$1,306,455","$1,561,479"
Brian Skinner,"$1,306,455","$1,561,479"
Kevin Ollie,"$1,306,455","$1,561,479"
Adonal Foyle,"$1,306,455","$1,561,479"
Jason Williams,"$1,306,455","$1,561,479"
Juwan Howard,"$1,306,455","$1,561,479"
Ben Wallace,"$1,306,445","$1,561,467"
Malik Allen,"$1,300,000","$1,553,764"
Darren Collison,"$1,266,120","$1,513,270"
Courtney Lee,"$1,264,440","$1,511,262"
Wilson Chandler,"$1,255,440","$1,500,506"
Ronnie Price,"$1,250,000","$1,494,004"
Jamaal Magloire,"$1,229,225","$1,469,173"
Kosta Koufos,"$1,214,040","$1,451,024"
Allen Iverson,"$1,191,180","$1,423,702"
Earl Boykins,"$1,191,180","$1,423,702"
Sean Marks,"$1,187,686","$1,419,526"
Jason Collins,"$1,181,803","$1,412,494"
Jarron Collins,"$1,181,803","$1,412,494"
Omri Casspi,"$1,167,000","$1,394,802"
Rudy Fernandez,"$1,165,320","$1,392,794"
Serge Ibaka,"$1,120,200","$1,338,866"
BJ Mullens,"$1,120,200","$1,338,866"
Nicolas Batum,"$1,118,760","$1,337,145"
Aaron Brooks,"$1,118,520","$1,336,858"
Carlos Arroyo,"$1,107,572","$1,323,773"
Primoz Brezec,"$1,107,572","$1,323,773"
Devin Brown,"$1,100,000","$1,314,723"
Arron Afflalo,"$1,086,240","$1,298,277"
George Hill,"$1,081,680","$1,292,827"
Ian Mahinmi,"$1,079,640","$1,290,389"
Rodrigue Beaubois,"$1,075,440","$1,285,369"
Alando Tucker,"$1,071,720","$1,280,923"
Chris Quinn,"$1,055,000","$1,260,939"
Darrell Arthur,"$1,050,480","$1,255,537"
Royal Ivey,"$1,050,000","$1,254,963"
Donte Greene,"$1,044,000","$1,247,792"
Taj Gibson,"$1,039,800","$1,242,772"
DJ White,"$1,036,440","$1,238,756"
Keith Bogans,"$1,033,342","$1,235,053"
Quinton Ross,"$1,033,342","$1,235,053"
James Singleton,"$1,030,189","$1,231,285"
JR Giddens,"$1,028,880","$1,229,720"
DeMarre Carroll,"$1,009,680","$1,206,772"
Wayne Ellington,"$1,003,560","$1,199,458"
CJ Watson,"$1,000,497","$1,195,797"
Aaron Gray,"$1,000,497","$1,195,797"
Greg Buckner,"$1,000,000","$1,195,203"
Toney Douglas,"$996,240","$1,190,709"
Josh Powell,"$959,111","$1,146,332"
Didier Ilunga-Mbenga,"$959,111","$1,146,332"
Yakhouba Diawara,"$945,000","$1,129,467"
Stephen Graham,"$884,881","$1,057,612"
Joey Graham,"$884,881","$1,057,612"
Johan Petro,"$884,881","$1,057,612"
Luther Head,"$884,881","$1,057,612"
Ike Diogu,"$884,881","$1,057,612"
Sean May,"$884,881","$1,057,612"
Joey Dorsey,"$881,000","$1,052,974"
Kyle Weaver,"$870,968","$1,040,983"
Kyrylo Fesenko,"$870,000","$1,039,826"
Randolph Morris,"$855,189","$1,022,124"
Leon Powe,"$855,189","$1,022,124"
Steve Novak,"$855,189","$1,022,124"
Marcus Williams,"$855,189","$1,022,124"
Rodney Carney,"$855,189","$1,022,124"
Louis Amundson,"$855,189","$1,022,124"
DeJuan Blair,"$850,000","$1,015,922"
Ime Udoka,"$838,034","$1,001,621"
Shelden Williams,"$825,497","$986,636"
Will Bynum,"$825,497","$986,636"
Josh McRoberts,"$825,497","$986,636"
Joel Anthony,"$825,497","$986,636"
Dominic McGuire,"$825,497","$986,636"
Marcus Haislip,"$825,497","$986,636"
Sam Young,"$824,200","$985,086"
Jonathan Bender,"$801,361","$957,789"
Mario Chalmers,"$773,500","$924,489"
Darnell Jackson,"$736,420","$880,171"
Jawad Williams,"$736,420","$880,171"
Anthony Morrow,"$736,420","$880,171"
DeAndre Jordan,"$736,420","$880,171"
Bobby Brown,"$736,420","$880,171"
Luc Mbah a Moute,"$736,420","$880,171"
Nathan Jawai,"$736,420","$880,171"
Henry Walker,"$736,420","$880,171"
Malik Hairston,"$736,420","$880,171"
Sonny Weems,"$736,420","$880,171"
Chris Douglas-Roberts,"$736,000","$879,669"
Jermaine Taylor,"$725,000","$866,522"
Jodie Meeks,"$650,000","$776,882"
Chris Hunter,"$632,455","$755,912"
Kareem Rush,"$534,906","$639,321"
Jason Hart,"$521,384","$623,159"
Marcus Thornton,"$457,888","$547,269"
Marcus Landry,"$457,588","$546,910"
Derrick Brown,"$457,588","$546,910"
Danny Green,"$457,588","$546,910"
Jonas Jerebko,"$457,588","$546,910"
DaJuan Summers,"$457,588","$546,910"
Chase Budinger,"$457,588","$546,910"
AJ Price,"$457,588","$546,910"
Taylor Griffin,"$457,588","$546,910"
Dante Cunningham,"$457,588","$546,910"
Jeff Ayres,"$457,588","$546,910"
Patrick Mills,"$457,588","$546,910"
Jon Brockman,"$457,588","$546,910"
Wesley Matthews,"$457,588","$546,910"
Mario West,"$446,740","$533,945"
Anthony Tolliver,"$411,529","$491,860"
Lester Hudson,"$392,987","$469,698"
Coby Karl,"$355,215","$424,554"
Shavlik Randolph,"$343,542","$410,602"
Pops Mensah-Bonsu,"$330,199","$394,654"
Othello Hunter,"$307,564","$367,601"
Roko Ukic,"$303,232","$362,423"
Shaun Livingston,"$296,695","$354,610"
Sundiata Gaines,"$269,169","$321,711"
Ryan Bowen,"$209,592","$250,505"
Garrett Temple,"$180,344","$215,547"
Mike Wilks,"$175,908","$210,245"
Antonio Anderson,"$139,968","$167,290"
Cartier Martin,"$86,638","$103,550"
Quincy Douby,"$85,519","$102,212"
Paul Davis,"$80,488","$96,199"
Desmond Mason,"$76,850","$91,851"
Mike Harris,"$64,978","$77,661"
Cedric Jackson,"$53,834","$64,342"
Will Conroy,"$48,559","$58,037"
Chris Richard,"$43,319","$51,775"
JamesOn Curry,"$26,917","$32,171"
