Player,Salary,Adjusted
Shaquille O'Neal,"$20,000,000","$26,508,688"
Allan Houston,"$19,125,000","$25,348,933"
Chris Webber,"$19,125,000","$25,348,933"
Michael Finley,"$18,612,500","$24,669,648"
Kevin Garnett,"$18,000,000","$23,857,820"
Stephon Marbury,"$16,453,125","$21,807,538"
Allen Iverson,"$16,453,125","$21,807,538"
Jason Kidd,"$16,440,000","$21,790,142"
Jermaine O'Neal,"$16,440,000","$21,790,142"
Brian Grant,"$16,006,220","$21,215,194"
Kobe Bryant,"$15,946,875","$21,136,537"
Tim Duncan,"$15,845,156","$21,001,715"
Anfernee Hardaway,"$15,750,000","$20,875,592"
Keith Van Horn,"$15,694,250","$20,801,699"
Tracy McGrady,"$15,694,250","$20,801,699"
Grant Hill,"$15,694,250","$20,801,699"
Jalen Rose,"$15,694,250","$20,801,699"
Eddie Jones,"$14,576,250","$19,319,863"
Tim Thomas,"$13,975,000","$18,522,946"
Antonio Davis,"$13,925,000","$18,456,674"
Paul Pierce,"$13,843,156","$18,348,195"
Vince Carter,"$13,843,156","$18,348,195"
Dirk Nowitzki,"$13,843,156","$18,348,195"
Antawn Jamison,"$13,843,156","$18,348,195"
Baron Davis,"$13,700,000","$18,158,451"
Steve Francis,"$13,700,000","$18,158,451"
Shawn Marion,"$13,700,000","$18,158,451"
Ray Allen,"$13,223,140","$17,526,405"
Elton Brand,"$13,152,000","$17,432,113"
Joe Johnson,"$12,000,000","$15,905,213"
Michael Redd,"$12,000,000","$15,905,213"
Theo Ratliff,"$11,666,666","$15,463,401"
Carlos Boozer,"$11,593,816","$15,366,843"
Mike Bibby,"$11,500,000","$15,242,496"
Lamar Odom,"$11,465,333","$15,196,547"
Pau Gasol,"$10,993,000","$14,570,500"
Andrei Kirilenko,"$10,983,000","$14,557,246"
Rasheed Wallace,"$10,860,000","$14,394,218"
Derek Anderson,"$10,763,000","$14,265,650"
Zach Randolph,"$10,666,667","$14,137,967"
Kenyon Martin,"$10,636,364","$14,097,803"
Raef LaFrentz,"$10,623,288","$14,080,471"
Larry Hughes,"$10,344,900","$13,711,486"
Gilbert Arenas,"$10,243,200","$13,576,690"
Richard Jefferson,"$10,200,000","$13,519,431"
Jamal Mashburn,"$10,075,000","$13,353,752"
