Player,Salary,Adjusted
Stephen Curry,"$40,231,758","$40,491,547"
Russell Westbrook,"$38,506,482","$38,755,131"
Chris Paul,"$38,506,482","$38,755,131"
James Harden,"$38,199,000","$38,445,663"
John Wall,"$38,199,000","$38,445,663"
LeBron James,"$37,436,858","$37,678,600"
Kevin Durant,"$37,199,000","$37,439,206"
Blake Griffin,"$34,449,964","$34,672,418"
Kyle Lowry,"$33,296,296","$33,511,301"
Paul George,"$33,005,556","$33,218,683"
Kemba Walker,"$32,742,000","$32,953,425"
Klay Thompson,"$32,742,000","$32,953,425"
Kawhi Leonard,"$32,742,000","$32,953,425"
Jimmy Butler,"$32,742,000","$32,953,425"
Tobias Harris,"$32,742,000","$32,953,425"
Gordon Hayward,"$32,700,690","$32,911,849"
Mike Conley,"$32,511,623","$32,721,561"
Kyrie Irving,"$31,742,000","$31,946,968"
Khris Middleton,"$30,603,448","$30,801,064"
Paul Millsap,"$30,350,000","$30,545,979"
Damian Lillard,"$29,802,321","$29,994,764"
Kevin Love,"$28,942,830","$29,129,723"
Nikola Vucevic,"$28,000,000","$28,180,805"
Al Horford,"$28,000,000","$28,180,805"
DeMar DeRozan,"$27,739,975","$27,919,101"
CJ McCollum,"$27,556,959","$27,734,903"
Nikola Jokic,"$27,504,630","$27,682,236"
Andrew Wiggins,"$27,504,630","$27,682,236"
Joel Embiid,"$27,504,630","$27,682,236"
Kristaps Porzingis,"$27,285,000","$27,461,188"
D'Angelo Russell,"$27,285,000","$27,461,188"
Karl-Anthony Towns,"$27,285,000","$27,461,188"
Devin Booker,"$27,285,000","$27,461,188"
Otto Porter,"$27,250,576","$27,426,541"
Anthony Davis,"$27,093,019","$27,267,967"
Andre Drummond,"$27,093,018","$27,267,966"
Hassan Whiteside,"$27,093,018","$27,267,966"
Bradley Beal,"$27,093,018","$27,267,966"
Jrue Holiday,"$26,131,111","$26,299,848"
LaMarcus Aldridge,"$26,000,000","$26,167,890"
Giannis Antetokounmpo,"$25,842,697","$26,009,571"
Steven Adams,"$25,842,697","$26,009,571"
Marc Gasol,"$25,595,700","$25,760,979"
Nicolas Batum,"$25,565,217","$25,730,300"
Rudy Gobert,"$25,258,427","$25,421,529"
Harrison Barnes,"$24,147,727","$24,303,656"
Serge Ibaka,"$23,271,604","$23,421,876"
Danilo Gallinari,"$22,615,559","$22,761,595"
Victor Oladipo,"$21,000,000","$21,135,603"
Tim Hardaway Jr,"$20,025,127","$20,154,435"
Malcolm Brogdon,"$20,000,000","$20,129,146"
Terry Rozier,"$19,894,737","$20,023,203"
Aaron Gordon,"$19,863,636","$19,991,902"
Zach LaVine,"$19,500,000","$19,625,917"
Kent Bazemore,"$19,269,663","$19,394,093"
Goran Dragic,"$19,217,900","$19,341,996"
Jeff Teague,"$19,000,000","$19,122,689"
Evan Turner,"$18,606,556","$18,726,704"
Tristan Thompson,"$18,539,130","$18,658,843"
Draymond Green,"$18,539,130","$18,658,843"
Gary Harris,"$18,189,286","$18,306,740"
Myles Turner,"$18,000,000","$18,116,231"
Julius Randle,"$18,000,000","$18,116,231"
Derrick Favors,"$17,650,000","$17,763,971"
Andre Iguodala,"$17,185,185","$17,296,155"
Evan Fournier,"$17,150,000","$17,260,743"
Bismack Biyombo,"$17,000,000","$17,109,774"
Bojan Bogdanovic,"$17,000,000","$17,109,774"
Clint Capela,"$16,896,552","$17,005,658"
Gorgui Dieng,"$16,229,213","$16,334,010"
Ricky Rubio,"$16,200,000","$16,304,608"
Jonas Valanciunas,"$16,000,000","$16,103,317"
Brandon Knight,"$15,643,750","$15,744,766"
Eric Bledsoe,"$15,625,000","$15,725,895"
Kelly Oubre,"$15,625,000","$15,725,895"
Dennis Schroeder,"$15,500,000","$15,600,088"
Ian Mahinmi,"$15,450,051","$15,549,817"
James Johnson,"$15,349,400","$15,448,516"
Marcus Morris,"$15,000,000","$15,096,859"
Bobby Portis,"$15,000,000","$15,096,859"
Danny Green,"$14,634,147","$14,728,644"
Rudy Gay,"$14,500,000","$14,593,631"
Cody Zeller,"$14,471,910","$14,565,359"
Eric Gordon,"$14,057,730","$14,148,505"
Mason Plumlee,"$14,041,096","$14,131,763"
JJ Redick,"$13,486,300","$13,573,385"
Jordan Clarkson,"$13,437,500","$13,524,270"
Dewayne Dedmon,"$13,333,334","$13,419,431"
Solomon Hill,"$13,290,395","$13,376,215"
Justise Winslow,"$13,000,000","$13,083,945"
Thaddeus Young,"$12,900,000","$12,983,299"
Will Barton,"$12,776,786","$12,859,289"
Courtney Lee,"$12,759,670","$12,842,063"
Larry Nance Jr,"$12,727,273","$12,809,457"
Patrick Mills,"$12,678,571","$12,760,440"
Kelly Olynyk,"$12,667,885","$12,749,685"
Marcus Smart,"$12,553,571","$12,634,633"
Terrence Ross,"$12,500,000","$12,580,716"
Patrick Beverley,"$12,345,680","$12,425,400"
Trevor Ariza,"$12,200,000","$12,278,779"
Brook Lopez,"$12,093,024","$12,171,112"
Jusuf Nurkic,"$12,000,000","$12,077,487"
Cory Joseph,"$12,000,000","$12,077,487"
Joe Ingles,"$11,454,546","$11,528,511"
Tony Snell,"$11,392,857","$11,466,424"
Robert Covington,"$11,301,219","$11,374,194"
Meyers Leonard,"$11,286,515","$11,359,395"
TJ Warren,"$11,060,000","$11,131,418"
Moe Harkless,"$11,011,234","$11,082,337"
Andre Roberson,"$10,740,740","$10,810,096"
Spencer Dinwiddie,"$10,605,600","$10,674,083"
Jeremy Lamb,"$10,500,000","$10,567,801"
Dwight Powell,"$10,259,375","$10,325,623"
George Hill,"$10,133,907","$10,199,344"
Josh Richardson,"$10,116,576","$10,181,902"
Norman Powell,"$10,116,576","$10,181,902"
Tyus Jones,"$10,116,000","$10,181,322"
Tomas Satoransky,"$10,000,000","$10,064,573"
DeAndre Jordan,"$9,881,598","$9,945,406"
Zion Williamson,"$9,757,440","$9,820,447"
Markelle Fultz,"$9,745,200","$9,808,127"
John Henson,"$9,732,396","$9,795,241"
Matthew Dellavedova,"$9,607,500","$9,669,538"
Dante Exum,"$9,600,000","$9,661,990"
Deandre Ayton,"$9,562,920","$9,624,670"
Delon Wright,"$9,473,684","$9,534,858"
Jerami Grant,"$9,346,153","$9,406,504"
Fred VanVleet,"$9,346,153","$9,406,504"
Al-Farouq Aminu,"$9,258,000","$9,317,781"
Kyle Anderson,"$9,073,050","$9,131,637"
Taj Gibson,"$9,000,000","$9,058,115"
Ja Morant,"$8,730,240","$8,786,614"
Lonzo Ball,"$8,719,320","$8,775,623"
E'Twaun Moore,"$8,664,928","$8,720,880"
Marvin Bagley,"$8,556,120","$8,611,369"
Bogdan Bogdanovic,"$8,529,386","$8,584,463"
PJ Tucker,"$8,349,039","$8,402,951"
Cristiano Felicio,"$8,156,500","$8,209,169"
Kentavious Caldwell-Pope,"$8,139,282","$8,191,840"
Ben Simmons,"$8,113,929","$8,166,323"
Maxi Kleber,"$8,000,000","$8,051,658"
Louis Williams,"$8,000,000","$8,051,658"
Elfrid Payton,"$8,000,000","$8,051,658"
Wayne Ellington,"$8,000,000","$8,051,658"
Thomas Bryant,"$8,000,000","$8,051,658"
RJ Barrett,"$7,839,960","$7,890,585"
Jayson Tatum,"$7,830,000","$7,880,560"
Jae Crowder,"$7,815,533","$7,866,000"
Luka Doncic,"$7,683,360","$7,732,973"
Joe Harris,"$7,666,667","$7,716,173"
Seth Curry,"$7,461,380","$7,509,560"
DeMarre Carroll,"$7,339,258","$7,386,649"
Langston Galloway,"$7,333,333","$7,380,686"
Doug McDermott,"$7,333,333","$7,380,686"
Derrick Rose,"$7,317,074","$7,364,322"
Brandon Ingram,"$7,265,485","$7,312,400"
Darius Miller,"$7,250,000","$7,296,815"
DJ Augustin,"$7,250,000","$7,296,815"
De'Andre Hunter,"$7,068,360","$7,114,002"
Josh Jackson,"$7,059,480","$7,105,065"
Ersan Ilyasova,"$7,000,000","$7,045,201"
Davis Bertans,"$7,000,000","$7,045,201"
Jaren Jackson Jr,"$6,927,480","$6,972,213"
Nemanja Bjelica,"$6,825,000","$6,869,071"
Jaylen Brown,"$6,534,829","$6,577,026"
Jabari Parker,"$6,500,000","$6,541,972"
Ivica Zubac,"$6,481,482","$6,523,335"
Darius Garland,"$6,400,920","$6,442,252"
De'Aaron Fox,"$6,392,760","$6,434,040"
Trae Young,"$6,273,000","$6,313,506"
Montrezl Harrell,"$6,000,000","$6,038,743"
Ishmael Smith,"$6,000,000","$6,038,743"
Marco Belinelli,"$5,846,154","$5,883,904"
Jarrett Culver,"$5,813,640","$5,851,180"
Jonathan Isaac,"$5,806,440","$5,843,934"
Rodney Hood,"$5,718,000","$5,754,923"
Mo Bamba,"$5,697,600","$5,734,391"
Trey Lyles,"$5,500,000","$5,535,515"
Aron Baynes,"$5,453,280","$5,488,493"
Kris Dunn,"$5,348,007","$5,382,540"
Coby White,"$5,307,120","$5,341,389"
Lauri Markkanen,"$5,300,400","$5,334,626"
Wendell Carter,"$5,201,400","$5,234,987"
Daniel Theis,"$5,000,000","$5,032,286"
Jaxson Hayes,"$4,862,040","$4,893,435"
Buddy Hield,"$4,861,207","$4,892,597"
Frank Ntilikina,"$4,855,800","$4,887,155"
Rodney McGruder,"$4,807,693","$4,838,737"
Enes Kanter,"$4,767,000","$4,797,782"
Garrett Temple,"$4,767,000","$4,797,782"
Justin Holiday,"$4,767,000","$4,797,782"
JaMychal Green,"$4,767,000","$4,797,782"
Avery Bradley,"$4,767,000","$4,797,782"
Robin Lopez,"$4,767,000","$4,797,782"
Mike Scott,"$4,767,000","$4,797,782"
